Sample.ID,ACGT tag ID,Total reads,QC,mapping rates(%),No. of transcripts,Notes
X01BR001,25-R,33444989,pass,0.9611,77112,
X01BR008,350-R,38418218,pass,0.9761,78337,
X01BR009,345-R,35745238,pass,0.968,84231,
X01BR010,349-R,36915705,pass,0.9731,81885,
X01BR015,26-R,33513916,pass,0.94,82366,
X01BR017,27-R,33259508,pass,0.96,78352,
X01BR018,28-R,31888074,pass,0.96,84797,
X01BR020,352-R,32462486,pass,0.9824,89407,
X01BR023,353-R,44044736,pass,0.9771,85832,
X01BR025,29-R,31543401,pass,0.96,72306,
X01BR026,351-R,40711163,pass,0.9821,90926,
X01BR027,30-R,33750597,pass,0.96,77417,
X01BR030,73_R,30669299,pass,0.96,82467,
X01BR031,74_R,30867247,pass,0.97,74697,
X01BR032,75_R,30336817,pass,0.98,73213,
X01BR033,218_R,30299600,pass,0.9696,76453,
X01BR040,327_R,45008934,pass,0.968,73179,
X01BR042,328_R,51196572,pass,0.9781,77607,
X01BR043,329_R,50111358,pass,0.9814,83522,
CPT001846,340_R,45117564,pass,0.976,83749,
X03BR002,40-R,32490952,pass,0.93,85756,
X03BR004,41-R,31585185,pass,0.96,82728,
X03BR005,42-R,31929004,pass,0.95,79510,
X03BR006,347-R,43232134,pass,0.9814,76677,
X03BR010,43-R,31467760,pass,0.96,76106,
X03BR011,355-R,31473205,pass,0.9687,88859,
X03BR013,123_R,30079434,pass,0.9607,77976,
X05BR001,48-R,32949271,pass,0.96,81231,
X05BR003,49-R,33134817,pass,0.95,87631,
X05BR004,346-R,53559792,pass,0.9781,97614,
X05BR005,295_R,33289095,pass,0.9832,82573,
X05BR009,50-R,33155305,pass,0.95,82199,
X05BR016,51-R,35363439,pass,0.95,72415,
X05BR026,83_R,31687933,pass,0.98,76457,
X05BR029,124_R,30481039,pass,0.9641,74049,
X05BR038,296_R,30688160,pass,0.9798,86308,
X05BR042,330_R,53506871,pass,0.981,90572,
X05BR043,331_R,52396809,pass,0.9731,96743,
X05BR044,332_R,44652156,pass,0.9761,88274,
X05BR045,333_R,40432256,pass,0.9821,85199,
X06BR003,58-R,32287841,pass,0.95,71879,
X06BR005,59-R,33872677,pass,0.95,84377,
X06BR006,60-R,39247817,pass,0.95,81919,
X06BR014,229_R,30897261,pass,0.9811,78735,
X09BR001,354-R,36557191,pass,0.9806,87748,
X09BR005,177_R,31108717,pass,0.9753,73365,
X11BR003,66-R,31188796,pass,0.95,72140,
X11BR004,183_R,31172573,pass,0.972,74378,
X11BR006,132_R,30166352,pass,0.9583,81239,
X11BR009,67-R,31209168,pass,0.95,80069,
X11BR010,133_R,30580647,pass,0.9607,80066,
X11BR011,91_R,30645168,pass,0.97,70626,
X11BR012,92_R,30534238,pass,0.98,77535,
X11BR013,93_R,30764394,pass,0.98,72988,
X11BR014,94_R,30550322,pass,0.98,72638,
X11BR015,95_R,30376261,pass,0.98,72979,
X11BR016,96_R,30345518,pass,0.98,66613,
