Unnamed: 0,Unnamed: 1,counts,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,p-values (Bonferroni corrected),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
variable,category,Basal.inclusive.counts,Classical.counts,EMT.enriched.counts,Inflamed.secretory.counts,Proliferative.primitive.counts,Basal.inclusive.pval,Classical.pval,EMT.enriched.pval,Inflamed.secretory.pval,Proliferative.primitive.pval
Experiment,1,0,1,2,0,2,1,1,1,1,1
Experiment,10,1,0,1,2,1,1,1,1,1,1
Experiment,11,0,4,0,0,1,1,1,1,1,1
Experiment,12,2,1,2,0,0,1,1,1,1,1
Experiment,13,2,0,0,1,2,1,1,1,1,1
Experiment,14,1,0,1,2,0,1,1,1,1,1
Experiment,15,1,2,0,1,1,1,1,1,1,1
Experiment,16,1,2,1,0,1,1,1,1,1,1
Experiment,17,3,1,0,0,1,1,1,1,1,1
Experiment,18,0,0,0,4,1,1,1,1,1,1
Experiment,19,1,0,0,3,1,1,1,1,1,1
Experiment,2,2,2,1,0,0,1,1,1,1,1
Experiment,20,0,1,0,1,3,1,1,1,1,1
Experiment,21,2,2,1,0,0,1,1,1,1,1
Experiment,22,0,2,1,0,2,1,1,1,1,1
Experiment,3,0,2,1,1,1,1,1,1,1,1
Experiment,4,0,3,0,2,0,1,1,1,1,1
Experiment,5,1,2,1,1,0,1,1,1,1,1
Experiment,6,1,2,1,1,0,1,1,1,1,1
Experiment,7,1,2,1,1,0,1,1,1,1,1
Experiment,8,2,1,0,1,0,1,1,1,1,1
Experiment,9,2,0,2,1,0,1,1,1,1,1
Channel,126C,3,2,5,7,3,1,1,1,1,1
Channel,127C,4,9,1,3,5,1,1,1,1,1
Channel,128C,4,10,4,1,3,1,1,1,1,1
Channel,129C,7,5,4,4,2,1,1,1,1,1
Channel,130C,5,4,2,7,4,1,1,1,1,1
Type,Tumor,23,30,16,22,17,1,1,1,1,1
Smoking.History_modified.x,,3,3,3,2,1,1,1,1,1,1
Smoking.History_modified.x,Non-Smoker,0,6,4,3,3,1,1,1,1,1
Smoking.History_modified.x,Reformed Smoker,9,12,5,14,6,1,1,1,1,1
Smoking.History_modified.x,Smoker,11,9,4,3,7,1,1,1,1,1
Stage_mod,I,7,8,8,9,5,1,1,1,1,1
Stage_mod,II,11,13,4,8,8,1,1,1,1,1
Stage_mod,III,4,6,4,3,4,1,1,1,1,1
Stage_mod,IV,0,1,0,0,0,1,1,1,1,1
Stage_mod,,1,2,0,2,0,1,1,1,1,1
Country.of.Origin,bulgaria,4,8,3,6,4,1,1,1,1,1
Country.of.Origin,china,7,6,1,1,2,1,1,1,1,1
Country.of.Origin,other,0,2,0,0,0,1,1,1,1,1
Country.of.Origin,poland,4,1,3,5,1,1,1,1,1,1
Country.of.Origin,russia,0,0,0,0,2,1,1,1,1,1
Country.of.Origin,ukraine,0,3,2,2,3,1,1,1,1,1
Country.of.Origin,usa,7,7,7,6,5,1,1,1,1,1
Country.of.Origin,vietnam,1,3,0,2,0,1,1,1,1,1
Gender,female,6,6,2,7,1,1,1,1,1,1
Gender,male,17,24,14,15,16,1,1,1,1,1
Ethnicity_mod,Asian,8,9,1,3,2,1,1,1,1,1
Ethnicity_mod,Black,0,1,0,0,0,1,1,1,1,1
Ethnicity_mod,Caucasian,15,15,12,17,12,1,1,1,1,1
Ethnicity_mod,,0,2,1,0,1,1,1,1,1,1
Ethnicity_mod,Slavic,0,3,2,2,2,1,1,1,1,1
Ancestry_PCA,Ad Mixed American,0,1,0,0,0,1,1,1,1,1
Ancestry_PCA,African,0,2,0,0,0,1,1,1,1,1
Ancestry_PCA,East Asian,8,9,1,3,2,1,1,1,1,1
Ancestry_PCA,European,14,18,15,19,14,1,1,1,1,1
Ancestry_PCA,"Mixed (European , South Asian)",1,0,0,0,1,1,1,1,1,1
CIMP.status.meth,CIMP-high,6,17,2,0,3,1,0.0108218239008078,1,1,1
CIMP.status.meth,CIMP-intermediate,10,4,12,22,3,1,1,1,2.00534515510692e-06,1
CIMP.status.meth,CIMP-low,5,6,2,0,11,1,1,1,1,0.0250295347302236
CIMP.status.meth,,2,3,0,0,0,1,1,1,1,1
TP53.mutation.status,0,0,0,2,3,0,1,1,1,1,1
TP53.mutation.status,1,23,30,14,19,17,1,1,1,1,1
PTEN.mutation.status,0,19,30,14,17,16,1,1,1,1,1
PTEN.mutation.status,1,4,0,2,5,1,1,1,1,1,1
CDKN2A.mutation.status,0,19,24,15,19,14,1,1,1,1,1
CDKN2A.mutation.status,1,4,6,1,3,3,1,1,1,1,1
KMT2D.mutation.status,0,17,18,11,19,15,1,1,1,1,1
KMT2D.mutation.status,1,6,12,5,3,2,1,1,1,1,1
