Patient Information,Unnamed: 1,Cancer,Normal
Age at Time of Tissue Procurement (year) ,Range,36.6-85.9,44.0-71.8
,Average + SD,59.4 ± 10.7,57.5 ± 7.4
Weight of Tumor Tissue Sample (mg),Range,60-2300,
,Average + SD,481 ± 401,
Race,American Indian or Alaska Native,1,1
,Asian,7,3
,Black or African American,2,1
,Unknown,2,1
,White,71,14
Ethnicity,Hispanic or Latino,1,0
,Not Evaluated,1,1
,Not Hispanic or Latino,76,18
,Unknown,5,1
Jewish Religion/ Heritage,Ashkenazi,6,0
,"Jewish, NOS",5,0
,Not Jewish,46,10
,Unknown,26,10
