Column,Description
Patient_ID,Unique ID of each patient. 
tumor_code,Tumor acronym (BRCA--Breast Cancer; ccRCC--clear cell renal cell carcinoma;  COAD--colon adenocarcinoma; GBM--Glioblastoma; HNSCC--Head and neck squamous cell carcinoma; LSCC -- Lung squamous cell carcinoma;  LUAD -- Lung adenocarcinoma; HGSC-- High grade serous carcinoma; PDAC --Pancreatic ductal adenocardinoma; UCEC -- Uterine corpus endometrial carcinoma.) 
tumor_sample_id_protein,"Sample ID for the tumor tissue ( used as column names in the combined protein abundance file, available from the Proteomic Data Commons)"
normal_sample_id_protein,"Sample ID for the normal tissue ( used as column names in the combined protein abundance file, available from the Proteomic Data Commons)"
is_excluded_from_pancancer_studies,TRUE if case was excluded from pan-cancer study (PTM/Driver studies under review)
reason_for_exclusion,Text comment describing why a case was excluded from pancancer study (see is_excluded) column
is_gtex,"Takes value 1, if the sample is the normal brain samples from GTEX consortium; and takes value 0, otherwise"
specimen/aliquout_id_protein_normal,Aliquot IDs for protein samples from normal adjacent tissue
specimen/aliquout_id_protein_tumor,Aliquot IDs for protein samples from tumor tissue 
specimen/aliquout_id_RNA_Tumor,Aliquot IDs for RNA samples from tumor tissue 
specimen/aliquout_id_RNA_Normal,Aliquot IDs for RNA samples from normal adjacent tissue 
specimen/aliquout_id_DNA_Tumor,Aliquot IDs for DNA samples from the tumor tissue 
specimen/aliquout_id_DNA_Normal,Aliquot IDs for DNA samples from normal adjacent tissue
specimen/aliquout_id_DNA_Blood,Aliquot IDs for DNA samples from blood
Age,Age of the patient (in years)
Sex,Male or Female
Race,Race as indicated in clinical report
Ethnicity,Ethnicity as indicated in clinical report
Inferred Ancestry based on Genomic data,Ancestry as inferred from germline genetic data
Participant Country,Country source of the sample
consent/case_stopped,Whether follow-up was ceased
baseline/tumor_site,Anatomical site of the tumor
baseline/tumor_laterality,"The side of a paired organ, or the side of the body on which the tumor originated."
baseline/tumor_focality,Whether multiple tumour foci are present
baseline/tumor_size_cm,Size of the tumor lesion
baseline/histologic_type,Histologic type of the tumor as identified in the pathology report
cptac_path/histologic_grade,Histologic grade of the tumor as identified in the pathology report
baseline/tumor_stage_pathological,Histologic stage of the tumor as identified in the pathology report
baseline/tumor_necrosis,Whether cell death was detected in the tumor (Present/Not-identified)
baseline/margin_status,Whether invasive cancer cells were found at the edge of the tissue
baseline/ajcc_tnm_cancer_staging_edition_used,Whether eighth or seventh edition of AJCC TNM staging system was used
baseline/pathologic_staging_primary_tumor_pt,Tumor stage in the primary tumor as identified in the pathology report
baseline/pathologic_staging_regional_lymph_nodes_pn,Tumor stage in the regional lymph nodes as identified in the pathology report
baseline/number_of_lymph_nodes_examined,Count of lymph nodes examined for pathologic staging
baseline/number_of_lymph_nodes_positive_for_tumor_by_ihc_staining,Count of lymph nodes positive for tumor by IHC staining
baseline/number_of_lymph_nodes_positive_for_tumor_by_he_staining,Count of lymph nodes positive for tumor by H&E staining
baseline/clinical_staging_distant_metastasis_cm,The stage of cancer using tests that are done before surgery
baseline/pathologic_staging_distant_metastasis_pm,The stage of cancer determined by tests that are done before surgery
baseline/specify_distant_metastasis_documented_sites,The stage of cancer determined by removing tissue samples during surgery or a biopsy
baseline/residual_tumor,Residual tumor (R) classification indicating whether cancer cells remain after attempts to remove the cancer
baseline/ancillary_studies_immunohistochemistry_type_and_result,List of ancillary immunohistochemistry studies performed and their results
medical_history/height_at_time_of_surgery_cm,"Patient's height at the time of surgery, in centimeters"
medical_history/weight_at_time_of_surgery_kg,"Patient's weight at the time of surgery, in kilograms"
medical_history/bmi,Patient's body mass index
medical_history/history_of_cancer,Whether the patient has had a former diagnosis of cancer
medical_history/alcohol_consumption,Whether the patient consumes alcohol and at what rate
medical_history/tobacco_smoking_history,Whether the patient consumes alcohol and at what rate
medical_history/number_of_pack_years_smoked,"The number of pack-years smoked by patient, calculated by multiplying the number of packs of cigarettes smoked per day by the number of years the person has smoked"
medical_history/was_the_participant_exposed_to_secondhand_smoke,Whether the patient was exposed to secondhand smoke
cancer_history/cancer_type,"If history of cancer present, cancer types previously reported"
cancer_history/history_of_any_treatment,"Whether the patient underwent radiation, surgery, and/or chemotherapy treatment"
