source,target
Country,country_of_birth
Histologic_Grade_FIGO,tumor_grade
Histologic_type,primary_diagnosis
Path_Stage_Primary_Tumor-pT,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes-pN,ajcc_pathologic_n
Clin_Stage_Dist_Mets-cM,ajcc_clinical_m
Path_Stage_Dist_Mets-pM,ajcc_pathologic_m
tumor_Stage-Pathological,ajcc_pathologic_stage
FIGO_stage,figo_stage
BMI,bmi
Age,age_at_diagnosis
Race,race
Ethnicity,ethnicity
Gender,gender
Tumor_Site,site_of_resection_or_biopsy
Tumor_Focality,tumor_focality
Tumor_Size_cm,tumor_width_measurement
