source,target
age,age_at_diagnosis
gender,gender
country,country_of_birth
smoking_history,tobacco_smoking_status
smoke_age_start,tobacco_smoking_onset_year
smoke_age_stop,tobacco_smoking_quit_year
num_smoke_per_day,cigarettes_per_day
smoking_second_hand,secondhand_smoke_as_child
alcohol_consum,alcohol_intensity
tumor_site_original,tissue_or_organ_of_origin
tumor_focality,tumor_focality
tumor_size_cm,tumor_width_measurement
histologic_type,primary_diagnosis
histologic_grade,tumor_grade
patho_staging_pt,ajcc_pathologic_t
patho_staging_pn,ajcc_pathologic_n
clinic_staging_dist_metas,ajcc_clinical_m
tumor_stage,ajcc_pathologic_stage
