source,target
age,relationship_age_at_diagnosis
gender,gender
height,height
weight,weight
bmi,bmi
country_of_origin,country_of_residence_at_enrollment
race,race
ethnicity,ethnicity
smoking_history,tobacco_smoking_status
secondhand_smoke_exposure,secondhand_smoke_as_child
tumor_laterality,biospecimen_laterality
tumor_site_curated,tissue_or_organ_of_origin
vital_status,vital_status
path_diag_to_last_contact_days,days_to_last_follow_up
path_diag_to_death_days,days_to_death
cause_of_death,cause_of_death
tumor_reoccur_after_treatment,history_of_tumor
path_diag_to_tumor_reoccur_days,treatment_outcome_duration
