Case,Sample Aliquot,Bam File,Total Reads,Proper Mapped Reads,Coverage,Cov_100x,Template Mean,Template SD
,,,,,,,,
C3L-00096,CPT0000050163,CPT0000050163-wgs,965308021.0,0.88,41.19,,376.77,115.93
C3L-00096,CPT0000050163,CPT0000050163-wxs,375791912.0,0.9,170.48,0.73,,
C3L-00010,CPT0000060163,CPT0000060163-wgs,926236236.0,0.88,39.65,,362.63,103.11
C3L-00010,CPT0000060163,CPT0000060163-wxs,400609052.0,0.91,180.88,0.86,,
C3L-00079,CPT0000070163,CPT0000070163-wgs,696347105.0,0.9,30.26,,386.23,111.64
C3L-00079,CPT0000070163,CPT0000070163-wxs,402718955.0,0.92,182.93,0.86,,
C3L-00011,CPT0000090163,CPT0000090163-wgs,972604764.0,0.89,41.85,,364.91,106.5
C3L-00011,CPT0000090163,CPT0000090163-wxs,359210329.0,0.91,172.1,0.85,,
C3L-00026,CPT0000130163,CPT0000130163-wgs,862937022.0,0.89,36.98,,361.31,104.74
C3L-00026,CPT0000130163,CPT0000130163-wxs,367627188.0,0.91,166.12,0.83,,
C3L-00004,CPT0000140163,CPT0000140163-wgs,925207403.0,0.88,39.43,,383.36,110.22
C3L-00004,CPT0000140163,CPT0000140163-wxs,333845161.0,0.91,163.1,0.81,,
C3L-00103,CPT0000640008,CPT0000640008-wgs,457815283.0,0.9,19.59,,338.28,104.19
C3L-00103,CPT0000640008,CPT0000640008-wxs,263096948.0,0.97,163.69,0.8,,
C3L-00097,CPT0000780005,CPT0000780005-wgs,1131750887.0,0.88,48.15,,382.07,108.06
C3L-00097,CPT0000780005,CPT0000780005-wxs,285676460.0,0.97,160.63,0.82,,
C3L-00088,CPT0000870012,CPT0000870012-wgs,820701234.0,0.88,35.24,,366.7,115.98
C3L-00088,CPT0000870012,CPT0000870012-wxs,258677487.0,0.97,157.34,0.81,,
C3L-00096,CPT0001180005,CPT0001180005-wgs,877405413.0,0.89,37.82,,368.28,107.36
C3L-00096,CPT0001180005,CPT0001180005-wxs,319116966.0,0.97,181.71,0.85,,
C3L-00010,CPT0001220165,CPT0001220165-wgs,965147823.0,0.89,41.69,,349.17,100.5
C3L-00010,CPT0001220165,CPT0001220165-wxs,374555368.0,0.97,206.25,0.86,,
C3L-00079,CPT0001260005,CPT0001260005-wgs,788713476.0,0.88,34.31,,358.96,106.59
C3L-00079,CPT0001260005,CPT0001260005-wxs,310033570.0,0.97,176.87,0.85,,
C3L-00011,CPT0001340005,CPT0001340005-wgs,820791056.0,0.88,35.52,,364.66,103.83
C3L-00011,CPT0001340005,CPT0001340005-wxs,303589343.0,0.96,169.2,0.77,,
C3L-00026,CPT0001500005,CPT0001500005-wgs,901663904.0,0.88,38.92,,368.87,106.71
C3L-00026,CPT0001500005,CPT0001500005-wxs,339085243.0,0.97,180.98,0.86,,
C3L-00004,CPT0001540165,CPT0001540165-wgs,944368153.0,0.88,40.82,,355.86,104.46
C3L-00004,CPT0001540165,CPT0001540165-wxs,415586617.0,0.97,215.19,0.9,,
C3L-00359,CPT0002270008,CPT0002270008-wgs,421948342.0,0.9,18.05,,363.69,106.61
C3L-00359,CPT0002270008,CPT0002270008-wxs,289334197.0,0.96,164.32,0.85,,
C3L-00360,CPT0002350008,CPT0002350008-wgs,402064928.0,0.86,17.07,,370.53,109.73
C3L-00360,CPT0002350008,CPT0002350008-wxs,296988049.0,0.96,162.12,0.76,,
C3L-00369,CPT0002660002,CPT0002660002-wgs,454813731.0,0.9,19.44,,368.68,109.24
C3L-00369,CPT0002660002,CPT0002660002-wxs,279828660.0,0.96,159.92,0.79,,
C3L-00418,CPT0002730002,CPT0002730002-wgs,380556691.0,0.89,16.42,,380.57,115.18
