Unnamed: 0,Unnamed: 1,counts,Unnamed: 3,Unnamed: 4,Unnamed: 5,p-values (Bonferroni corrected),Unnamed: 7,Unnamed: 8,Unnamed: 9
variable,category,Cold.Tumor.counts,Hot.Tumor.counts,NAT.enriched.counts,Warm.Tumor.counts,Cold.Tumor.pval,Hot.Tumor.pval,NAT.enriched.pval,Warm.Tumor.pval
Experiment,1,1,0,4,4,1,1,1,1
Experiment,10,0,2,5,3,1,1,1,1
Experiment,11,4,2,3,0,1,1,1,1
Experiment,12,1,1,4,3,1,1,1,1
Experiment,13,3,2,3,1,1,1,1,1
Experiment,14,0,3,4,1,1,1,1,1
Experiment,15,3,1,4,1,1,1,1,1
Experiment,16,3,0,5,2,1,1,1,1
Experiment,17,2,1,5,2,1,1,1,1
Experiment,18,1,1,5,3,1,1,1,1
Experiment,19,1,2,4,2,1,1,1,1
Experiment,2,2,0,4,3,1,1,1,1
Experiment,20,2,0,4,3,1,1,1,1
Experiment,21,2,0,4,3,1,1,1,1
Experiment,22,1,2,5,2,1,1,1,1
Experiment,3,1,1,4,3,1,1,1,1
Experiment,4,2,2,3,1,1,1,1,1
Experiment,5,3,1,5,1,1,1,1,1
Experiment,6,1,1,5,3,1,1,1,1
Experiment,7,2,3,2,2,1,1,1,1
Experiment,8,1,2,3,2,1,1,1,1
Experiment,9,2,2,4,1,1,1,1,1
Channel,126C,4,6,0,10,1,1,1,1
Channel,127C,8,4,0,10,1,1,1,1
Channel,127N,0,1,19,0,1,1,0.000374290315885702,1
Channel,128C,11,3,0,8,0.232540843985271,1,1,1
Channel,128N,0,0,22,0,1,1,1.60161729627935e-06,1
Channel,129C,8,6,0,8,1,1,1,1
Channel,129N,0,2,17,0,1,1,0.0133636507592421,1
Channel,130C,7,5,0,10,1,1,1,1
Channel,130N,0,2,19,0,1,1,0.00249671041019169,1
Channel,131N,0,0,12,0,1,1,0.0193869776688401,1
Type,NAT,0,5,89,0,1,1,3.56102229448806e-49,1
Type,Tumor,38,24,0,46,6.40272791613402e-10,0.247196597539651,1,5.53895095009793e-13
Smoking.History_modified.x,,1,2,11,9,1,1,1,1
Smoking.History_modified.x,Non-Smoker,8,3,11,6,1,1,1,1
Smoking.History_modified.x,Reformed Smoker,16,16,36,17,1,1,1,1
Smoking.History_modified.x,Smoker,13,8,31,14,1,1,1,1
Stage_mod,I,10,11,0,16,1,1,1,0.958184345576292
Stage_mod,II,17,9,0,18,0.192827087149919,1,1,0.972507849542027
