Case,Tissue Type,Sample Aliquot ID,Uniquely mapped reads number,Uniquely mapped reads %,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: other,% of reads unmapped: too short,Insertion rate per base,"Mismatch rate per base, %",Number of input reads,Number of reads mapped to multiple loci,Number of reads mapped to too many loci,Number of splices: Total
,,,,,,,,,,,,,,
C3L-01287,Solid Tissue Normal,ee722bb1-db91-46ff-bbf7-989ee5954824,94846820.0,92.72,5.7,0.28,0.11,1.2,0.01,0.2,102294273.0,5828078.0,282490.0,22475023.0
C3L-00561,Solid Tissue Normal,703aaad7-3056-4938-8099-108b6679ded4,73020918.0,93.11,5.32,0.29,0.11,1.17,0.01,0.19,78427086.0,4175421.0,224692.0,15823428.0
C3L-00561,Primary Tumor,da873fe0-1299-471c-9020-c61bd9b507dd,87486665.0,89.9,6.77,0.31,0.11,2.91,0.0,0.22,97314711.0,6585325.0,306171.0,22855561.0
C3L-01287,Primary Tumor,3197d373-5a6f-4e45-bc8e-2f5a6c7186e8,90613424.0,91.56,5.79,0.39,0.11,2.15,0.01,0.17,98964138.0,5726980.0,387341.0,23645783.0
C3L-01603,Primary Tumor,99d67dc7-cbc4-4b62-a36f-73ef4819de16,76328192.0,91.38,7.39,0.42,0.12,0.68,0.01,0.2,83524769.0,6170294.0,352253.0,18899433.0
C3N-01524,Primary Tumor,4ee095a5-09ab-4479-82b4-e5195ddb484b,79720732.0,89.34,7.16,0.44,0.09,2.96,0.01,0.19,89235708.0,6393531.0,393453.0,20484535.0
C3L-01603,Solid Tissue Normal,fcd433c7-1b54-4b52-b566-50a0983a1810,100518621.0,92.67,5.56,0.35,0.12,1.31,0.01,0.23,108472349.0,6032740.0,375600.0,22615316.0
C3N-00834,Solid Tissue Normal,7cca990f-7e32-41a8-a80b-58364c2dd212,84783499.0,94.5,4.17,0.15,0.1,1.09,0.01,0.25,89721191.0,3737243.0,138932.0,16859761.0
C3N-01214,Solid Tissue Normal,8220b089-90b2-4d27-841a-f7b5c5fb6c47,72709640.0,94.19,4.53,0.29,0.11,0.88,0.01,0.2,77192550.0,3500100.0,221513.0,15412737.0
C3N-01214,Primary Tumor,056f614f-96da-4f09-9bca-79a215669f68,79293577.0,92.17,6.44,0.37,0.12,0.91,0.01,0.22,86033917.0,5537104.0,321344.0,17764306.0
C3N-00834,Primary Tumor,d4b6f3f7-cd41-4e19-9b39-73ec5629a9e1,89386041.0,86.85,10.07,0.46,0.09,2.53,0.0,0.15,102923131.0,10367340.0,474857.0,23720468.0
C3N-01261,Primary Tumor,990eeb02-de23-4d83-99df-65b7babfbfa5,70076013.0,89.66,4.9,0.35,0.1,4.99,0.01,0.21,78158172.0,3828940.0,271369.0,16047895.0
C3N-01261,Solid Tissue Normal,202100bc-7b09-4648-9f4f-ef8f760d0996,74094082.0,93.11,5.12,0.32,0.11,1.34,0.01,0.2,79575458.0,4075472.0,254848.0,16068241.0
C3L-00917,Primary Tumor,12d298f2-5f27-4c87-888c-2ee9f6d11062,66598710.0,90.49,7.8,0.44,0.12,1.16,0.01,0.24,73600327.0,5739458.0,320412.0,14946333.0
C3L-00917,Solid Tissue Normal,61fd5b56-5683-4f1a-bb58-b55e17697515,86936771.0,93.62,4.96,0.25,0.1,1.06,0.01,0.2,92860029.0,4608606.0,229085.0,19111485.0
C3L-00607,Solid Tissue Normal,ec49624e-ecaa-4cd6-9102-569c040e83c4,81839779.0,93.56,5.32,0.3,0.11,0.71,0.01,0.22,87470657.0,4653679.0,263982.0,17507380.0
C3L-01861,Primary Tumor,38be969b-47f9-4081-b857-ddcb771518ff,91388573.0,92.54,5.93,0.45,0.14,0.95,0.01,0.24,98759763.0,5856473.0,444994.0,19634976.0
