Case_ID,Type,TMT_Set,TMT_Channel,Proteins,Peptides,Phosphoproteins,Phosphopeptides,Phosphosites,N-Glycoproteins,N-Glycopeptides,N-Glycosites,O-Glycoproteins,O-Glycopeptides
C3L-00017,Tumor,20,129C,9043,76356,5370,18995,24900,767,10468,1618,307,1003
C3L-00102,Tumor,16,127N,9127,79937,5456,19592,26034,761,9549,1580,294,958
C3L-00102,NAT,16,131N,9126,79706,5459,19591,26026,751,9018,1549,285,911
C3L-00189,Tumor,14,128N,8903,77642,5552,20010,27117,665,8251,1394,254,903
C3L-00189,NAT,14,131C,8904,77639,5552,20006,27103,660,7833,1369,246,865
C3L-00277,Tumor,11,128C,8245,69706,5173,17688,23710,601,6745,1227,229,747
C3L-00277,NAT,11,129C,8245,69696,5164,17608,23553,574,6090,1170,211,667
C3L-00401,Tumor,23,129C,8798,76282,5118,17430,22892,758,9889,1595,305,973
C3L-00401,NAT,23,127N,8798,76268,5116,17413,22870,750,9738,1583,296,958
C3L-00589,Tumor,1,130C,8652,77747,6196,22382,29722,664,6781,1322,245,674
C3L-00598,Tumor,17,129C,9253,86946,5551,19572,25965,748,8706,1546,308,908
C3L-00599,Tumor,1,131C,8650,77700,6189,22332,29634,633,6167,1246,234,616
C3L-00622,Tumor,21,128C,8704,66288,5156,17470,22903,706,8591,1410,260,771
C3L-00625,Tumor,14,127C,8903,77603,5553,20015,27117,665,8262,1391,253,899
C3L-00640,Tumor,20,127C,9042,76132,5365,18984,24874,767,10225,1610,305,982
C3L-00640,NAT,20,131C,9046,76231,5371,18979,24879,767,10384,1615,305,997
C3L-00819,Tumor,13,128N,9585,97141,5917,22614,31125,750,9886,1620,273,1006
C3L-00819,NAT,13,131N,9583,96919,5913,22579,31047,748,9720,1609,274,996
C3L-00881,Tumor,11,128N,8243,69619,5176,17692,23708,601,6655,1222,228,741
C3L-00881,NAT,11,130N,8245,69674,5170,17629,23584,585,6247,1189,224,697
C3L-00928,Tumor,17,130C,9253,86934,5548,19566,25957,752,8841,1548,310,921
C3L-00928,NAT,17,128N,9253,86930,5551,19561,25941,744,8197,1510,297,851
C3L-01031,Tumor,22,129C,9164,74103,5603,19881,26534,780,10611,1647,312,1038
C3L-01031,NAT,22,127C,9161,74386,5601,19847,26476,771,9999,1605,303,983
C3L-01036,Tumor,12,130N,8609,75254,5320,18941,25338,670,7452,1372,249,841
C3L-01036,NAT,12,128C,8609,75247,5316,18888,25235,661,7004,1344,242,795
C3L-01037,Tumor,12,131C,8609,75238,5318,18935,25325,669,7387,1371,244,821
C3L-01037,NAT,12,127N,8607,75128,5314,18843,25137,662,6910,1338,243,793
C3L-01051,Tumor,9,128N,8996,83395,5639,20154,27356,712,7935,1498,254,746
C3L-01051,NAT,9,130N,9000,84039,5644,20183,27357,705,7594,1468,250,715
C3L-01052,Tumor,21,128N,8703,65700,5156,17464,22896,704,8582,1405,260,770
C3L-01052,NAT,21,129C,8703,65498,5155,17443,22862,700,8448,1396,259,762
C3L-01053,Tumor,22,128N,9157,73684,5603,19878,26522,775,10442,1639,310,1025
C3L-01053,NAT,22,131N,9153,72935,5596,19818,26436,775,10332,1635,305,996
C3L-01054,Tumor,2,127N,8789,76719,5636,20082,26848,577,5678,1126,205,615
C3L-01054,NAT,2,131N,8781,76523,5635,20095,26839,569,5340,1107,201,582
C3L-01124,Tumor,15,129N,9186,84555,5507,19915,26613,732,9306,1532,288,905
C3L-01124,NAT,15,130N,9184,84078,5503,19862,26517,717,8882,1496,283,874
C3L-01328,Tumor,20,130C,9047,76379,5370,18997,24902,770,10432,1622,306,997
C3L-01453,Tumor,7,129N,8128,61699,5329,18857,25367,677,8613,1446,253,816
C3L-01598,Tumor,7,130C,8128,61759,5327,18857,25363,684,8583,1452,253,813
C3L-01598,NAT,7,128N,8127,61791,5326,18853,25351,665,8099,1408,246,787
C3L-01637,Tumor,6,127N,8050,62134,5270,18434,24812,708,8691,1472,287,911
C3L-01637,NAT,6,131C,8048,61977,5267,18393,24724,695,8322,1445,276,869
C3L-01662,Tumor,14,129C,8904,77687,5551,20012,27113,668,8218,1395,253,897
C3L-01687,Tumor,1,130N,8652,77742,6196,22381,29716,660,6683,1317,242,659
C3L-01689,Tumor,4,127C,8399,64832,5346,18295,24599,772,9483,1635,286,920
C3L-01703,Tumor,15,127N,9185,84494,5509,19917,26615,732,9355,1528,286,906
C3L-01971,Tumor,5,127N,8617,71908,5494,19299,26086,733,8451,1511,273,808
C3L-01971,NAT,5,131C,8600,70672,5471,18997,25639,710,7880,1470,265,746
C3L-02109,Tumor,7,130N,8126,61799,5329,18873,25391,674,8642,1442,253,814
C3L-02112,Tumor,17,129N,9253,86614,5550,19562,25949,752,8828,1550,310,918
C3L-02115,Tumor,10,130C,8528,72647,5307,18547,24296,636,6609,1264,257,685
C3L-02116,Tumor,16,128C,9128,79896,5459,19610,26070,762,9721,1591,299,984
C3L-02118,Tumor,23,131C,8798,76281,5119,17433,22902,762,10090,1608,309,990
C3L-02463,Tumor,9,127N,9000,84030,5649,20241,27514,711,8006,1500,257,763
C3L-02604,Tumor,18,131N,8804,79776,5289,18674,24326,721,9413,1510,292,918
C3L-02606,Tumor,8,130C,7887,55430,5329,18508,24711,704,8461,1474,264,816
C3L-02606,NAT,8,127N,7877,54030,5314,18291,24332,700,8171,1455,260,788
C3L-02610,Tumor,3,129N,8945,82880,5322,19099,25647,747,10075,1579,287,914
C3L-02610,NAT,3,130C,8945,82860,5321,19081,25620,736,9718,1550,276,875
C3L-02613,Tumor,24,127C,8867,81201,5479,19721,25813,727,9651,1540,275,918
C3L-02701,Tumor,22,127N,9163,74473,5598,19863,26490,779,10499,1643,311,1025
C3L-02809,Tumor,7,129C,8129,61806,5330,18867,25382,684,8713,1460,254,819
