TMT_set,channel_name,case_id,sample_type
1,128C,C3L-03123,NAT
1,131N,C3N-03884,NAT
2,128C,C3L-03630,NAT
2,130C,C3L-03356,NAT
2,131N,C3L-01054,NAT
3,128N,C3L-04495,NAT
3,130C,C3L-02610,NAT
4,127N,C3L-03388,NAT
4,131N,C3N-02768,NAT
5,130C,C3N-01998,NAT
5,131C,C3L-01971,NAT
6,127C,C3N-00249,NAT
6,131C,C3L-01637,NAT
7,128N,C3L-01598,NAT
7,128C,C3L-02809,NAT
8,127N,C3L-02606,NAT
8,128N,C3N-01997,NAT
8,128C,C3N-02589,NAT
8,129N,C3L-04479,NAT
9,130N,C3L-01051,NAT
9,131N,C3N-03211,NAT
10,129N,C3L-04473,NAT
10,129C,C3N-00436,NAT
11,129N,C3N-00513,NAT
11,129C,C3L-00277,NAT
11,130N,C3L-00881,NAT
11,131N,C3L-04848,NAT
12,127N,C3L-01037,NAT
12,128C,C3L-01036,NAT
12,129C,C3L-03395,NAT
12,131N,C3N-03780,NAT
13,127C,C3N-00957,NAT
13,130C,C3N-04282,NAT
13,131N,C3L-00819,NAT
14,130N,C3N-03440,NAT
14,131N,C3N-03061,NAT
14,131C,C3L-00189,NAT
15,130N,C3L-01124,NAT
15,131N,C3L-03632,NAT
15,131C,C3N-02010,NAT
16,129C,C3L-04072,NAT
16,130C,C3N-00518,NAT
16,131N,C3L-00102,NAT
17,128N,C3L-00928,NAT
17,130N,C3N-03840,NAT
17,131C,C3N-00517,NAT
18,127N,C3N-02585,NAT
18,130N,C3N-03426,NAT
19,127N,C3N-02944,NAT
19,128N,C3N-02592,NAT
19,131N,C3N-04119,NAT
19,131C,C3L-04853,NAT
20,127N,C3L-03639,NAT
20,129N,C3N-00514,NAT
20,131C,C3L-00640,NAT
21,129C,C3L-01052,NAT
21,130C,C3N-02573,NAT
21,131N,C3N-02295,NAT
21,131C,C3N-00709,NAT
22,127C,C3L-01031,NAT
22,131N,C3L-01053,NAT
23,127N,C3L-00401,NAT
23,130N,C3N-03839,NAT
23,131N,C3N-01011,NAT
24,128N,C3N-03069,NAT
24,130C,C3N-00512,NAT
24,131C,C3L-02899,NAT
25,127N,C3L-03513,Normal Duct
25,128N,C3L-03514,Normal Duct
25,128C,C3L-03515,Normal Duct
25,129C,C3L-07032,Normal Duct
25,130N,C3L-07033,Normal Duct
25,130C,C3L-07034,Normal Duct
25,131N,C3L-07035,Normal Duct
25,131C,C3L-07036,Normal Duct
1,127C,C3N-03884,Tumor
1,129C,C3L-03123,Tumor
1,130N,C3L-01687,Tumor
1,130C,C3L-00589,Tumor
1,131C,C3L-00599,Tumor
2,127N,C3L-01054,Tumor
2,129N,C3L-03356,Tumor
2,129C,C3L-03630,Tumor
2,130N,C3L-02890,Tumor
2,131C,C3N-01166,Tumor
3,127N,C3N-04126,Tumor
