original_paper_variable_names,GDC_format_variable_names
case_id,case_submitter_id
age,age_at_diagnosis
gender,gender
country,country_of_residence_at_enrollment
smoking_history,tobacco_smoking_status
smoke_age_start,tobacco_smoking_onset_year
smoke_age_stop,tobacco_smoking_quit_year
num_smoke_per_day,pack_years_smoked
smoking_second_hand,secondhand_smoke_as_child
alcohol_consum,alcohol_intensity
tumor_site_original,site_of_resection_or_biopsy; tissue_or_organ_of_origin
tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter
histologic_type,primary_diagnosis
histologic_grade,tumor_grade
patho_staging_pt,ajcc_pathologic_t
patho_staging_pn,ajcc_pathologic_n
clinic_staging_dist_metas,ajcc_clinical_m
tumor_stage,ajcc_pathologic_stage
