Study,Method,F1,Precision,Recall,RecallAtSizeofGroundTruth,Runtime(s)
Krug,JaccardDistanceMatcher,0,0.0,0.0,0.0,138.9372
Krug,Coma,0.5,0.5,0.5,0.5,14.2029
Krug,SimilarityFlooding,0,0.0,0.0,0.0,2.3812
Krug,DistributionBased,0,0.0,0.0,0.0,8.9848
Krug,Cupid,0,0.0,0.0,0.0,41.3587
Clark,JaccardDistanceMatcher,0.5714285714285715,1.0,0.4,0.4666666666666667,7.3008
Clark,Coma,0.4,0.8,0.26666666666666666,0.4,12.2668
Clark,SimilarityFlooding,0,0.0,0.0,0.0,0.8105
Clark,DistributionBased,0.33333333333333337,1.0,0.2,0.26666666666666666,4.4031
Clark,Cupid,0,0.0,0.0,0.0,24.7741
Vasaikar,JaccardDistanceMatcher,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.6818
Vasaikar,Coma,0.35294117647058826,0.6,0.25,0.3333333333333333,6.3754
Vasaikar,SimilarityFlooding,0,0.0,0.0,0.0,1.3857
Vasaikar,DistributionBased,0.26666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,3.1587
Vasaikar,Cupid,0.23529411764705882,0.4,0.16666666666666666,0.16666666666666666,32.4215
Gillette,JaccardDistanceMatcher,0.21052631578947364,0.4,0.14285714285714285,0.14285714285714285,6.2997
Gillette,Coma,0.2,0.3333333333333333,0.14285714285714285,0.14285714285714285,4.4242
Gillette,SimilarityFlooding,0.13333333333333333,0.125,0.14285714285714285,0.14285714285714285,2.334
Gillette,DistributionBased,0.25,1.0,0.14285714285714285,0.14285714285714285,4.5525
Gillette,Cupid,0.3157894736842105,0.6,0.21428571428571427,0.21428571428571427,16.0772
Wang,JaccardDistanceMatcher,0,0.0,0.0,0.0,3.5861
Wang,Coma,0.39999999999999997,0.8333333333333334,0.2631578947368421,0.2631578947368421,12.2384
Wang,SimilarityFlooding,0,0.0,0.0,0.0,2.3541
Wang,DistributionBased,0,0.0,0.0,0.0,6.1052
Wang,Cupid,0,0.0,0.0,0.0,51.3556
Satpathy,JaccardDistanceMatcher,0,0.0,0.0,0.0,6.205
Satpathy,Coma,0.37499999999999994,0.6,0.2727272727272727,0.2727272727272727,13.1498
Satpathy,SimilarityFlooding,0,0.0,0.0,0.0,3.6374
Satpathy,DistributionBased,0.3076923076923077,1.0,0.18181818181818182,0.18181818181818182,6.6319
Satpathy,Cupid,0.25000000000000006,0.4,0.18181818181818182,0.18181818181818182,37.4232
Cao,JaccardDistanceMatcher,0,0.0,0.0,0.0,270.4206
Cao,Coma,0.2962962962962963,0.8,0.18181818181818182,0.22727272727272727,41.3093
Cao,SimilarityFlooding,0.07692307692307693,0.25,0.045454545454545456,0.045454545454545456,9.8923
Cao,DistributionBased,0.08695652173913045,1.0,0.045454545454545456,0.045454545454545456,19.9785
Cao,Cupid,0,0.0,0.0,0.0,54.6556
Huang,JaccardDistanceMatcher,0,0.0,0.0,0.05263157894736842,2.412
Huang,Coma,0.2608695652173913,0.75,0.15789473684210525,0.15789473684210525,9.655
Huang,SimilarityFlooding,0.08,0.16666666666666666,0.05263157894736842,0.05263157894736842,1.5846
Huang,DistributionBased,0.2727272727272727,1.0,0.15789473684210525,0.15789473684210525,3.3117
Huang,Cupid,0.1,1.0,0.05263157894736842,0.05263157894736842,28.835
Dou,JaccardDistanceMatcher,0.56,1.0,0.3888888888888889,0.3888888888888889,20.2891
Dou,Coma,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.2777777777777778,5.4877
Dou,SimilarityFlooding,0.23529411764705882,0.25,0.2222222222222222,0.2222222222222222,8.2992
Dou,DistributionBased,0.27272727272727276,0.75,0.16666666666666666,0.16666666666666666,15.1936
Dou,Cupid,0.46153846153846156,0.75,0.3333333333333333,0.3888888888888889,79.3592
