original_paper_variable_names,GDC_format_variable_names,generated_column_type
case_id,case_submitter_id,case_submitter_id
age,age_at_diagnosis,age_at_diagnosis
gender,gender,gender
country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
smoking_history,tobacco_smoking_status,tobacco_smoking_status
smoke_age_start,tobacco_smoking_onset_year,tobacco_smoking_onset_year
smoke_age_stop,tobacco_smoking_quit_year,tobacco_smoking_quit_year
num_smoke_per_day,pack_years_smoked,cigarettes_per_day
num_pack_years_sm,None,pack_years_smoked
smoking_second_hand,secondhand_smoke_as_child,secondhand_smoke_as_child
smoking_inferred,None,None
alcohol_consum,alcohol_intensity,alcohol_intensity
num_yrs_alc_con,None,alcohol_intensity
tumor_site_original,tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_site_curated,None,tissue_or_organ_of_origin
tumor_focality,tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
histologic_type,primary_diagnosis,primary_diagnosis
histologic_grade,tumor_grade,tumor_grade
tumor_necrosis,None,None
patho_staging_pt,ajcc_pathologic_t,ajcc_pathologic_t
patho_staging_pn,ajcc_pathologic_n,ajcc_pathologic_n
clinic_staging_dist_metas,ajcc_clinical_m,ajcc_clinical_m
tumor_stage,ajcc_pathologic_stage,ajcc_pathologic_stage
P16,None,None
HPV_inference,None,None
NAT_pathology_review,None,None
tumor_pathology_review,None,None
ESTIMATE_stromal_score,None,None
ESTIMATE_immune_score,None,None
CD3_IHC_count,None,None
stemness_score,None,None
mutation_count,None,None
neoAntigen_count,None,None
chr_instability_idx,None,None
integrated_subtype,None,None
transcriptomic_subtype,None,None
WES,None,None
WES_BN,None,None
WGS,None,None
WGS_BN,None,None
RNA-Seq,None,None
RNA-Seq_AN,None,None
MiRNA,None,None
MiRNA_AN,None,None
Methy,None,None
Methy_AN,None,None
Global_TMT,None,None
Global_TMT_AN,None,None
PhosphoTMT,None,None
PhosphoTMT_AN,None,None
Unnamed: 15,None,None
1: available; 0: unavailable,None,tissue_type
TMT set#,None,None
channel #,None,None
peptide amount for labeling (ug),None,None
type,None,tissue_type
combined_id,None,case_submitter_id
