original_paper_variable_names,GDC_format_variable_names,generated_column_type
case_id,case_submitter_id,case_submitter_id
age,age_at_diagnosis,age_at_diagnosis
sex,gender,gender
race,race,race
participant_country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
tumor_site,tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_focality,tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
lymph_vascular_invasion,vascular_invasion_present; lymphatic_invasion_present,lymphatic_invasion_present
perineural_invasion,perineural_invasion_present,perineural_invasion_present
number_of_lymph_nodes_positive_for_tumor,lymph_nodes_positive,lymph_nodes_positive
pathologic_staging_regional_lymph_nodes_pn,ajcc_pathologic_n,ajcc_pathologic_n
pathologic_staging_primary_tumor_pt,ajcc_pathologic_t,ajcc_pathologic_t
pathologic_staging_distant_metastasis_pm,ajcc_pathologic_m,ajcc_pathologic_m
clinical_staging_distant_metastasis_cm,ajcc_clinical_m,ajcc_clinical_m
residual_tumor,residual_disease,residual_disease
tumor_stage_pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
bmi,bmi,bmi
alcohol_consumption,alcohol_intensity,alcohol_intensity
tobacco_smoking_history,tobacco_smoking_status,tobacco_smoking_status
vital_status,vital_status,vital_status
cause_of_death,cause_of_death,cause_of_death
