original_paper_variable_names,GDC_format_variable_names,generated_column_type
Case_ID,case_submitter_id,case_submitter_id
Tumor/Normal,tissue_type,tissue_type
Gender,gender,gender
Age,age_at_diagnosis,age_at_diagnosis
BMI,bmi,bmi
Race,race,race
Ethnicity_Self_Identify,ethnicity,ethnicity
Tumor_Site,tissue_or_organ_of_origin,tissue_or_organ_of_origin
Tumor_Size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
Tumor_Focality,tumor_focality,tumor_focality
Histologic_Type,primary_diagnosis,primary_diagnosis
Grade,tumor_grade,tumor_grade
Tumor_Stage_Pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
Path_Stage_Primary_Tumor_pT,ajcc_pathologic_t,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes_pN,ajcc_pathologic_n,ajcc_pathologic_n
