column_name,generated_column_type
NMF cluster (p<0.05),None
Unnamed: 1,None
Unnamed: 2,None
Unnamed: 3,None
Unnamed: 4,None
Unnamed: 5,None
Unnamed: 6,None
Unnamed: 7,None
Unnamed: 8,None
Unnamed: 9,None
Unnamed: 10,None
Unnamed: 11,None
Unnamed: 0,None
Unnamed: 1,race
counts,None
Unnamed: 3,None
Unnamed: 4,None
Unnamed: 5,lymph_nodes_positive
p-values (Bonferroni corrected),None
Unnamed: 7,None
Unnamed: 8,None
Unnamed: 9,None
Sample.ID,Case_ID
Participant,Case_ID
Experiment,None
Channel,None
Type,tissue_type
Smoking.History,tobacco_smoking_status
Smoking.History_modified,tobacco_smoking_status
Stage,ajcc_pathologic_stage
Stage_mod,ajcc_pathologic_stage
Country.of.Origin,country_of_residence_at_enrollment
Age,age_at_diagnosis
Gender,gender
Ethnicity,ethnicity
Ethnicity_mod,ethnicity
Pathology.based.histology.assessment,primary_diagnosis
Cigarettes.per.Day,cigarettes_per_day
Pack.Years.Smoked,pack_years_smoked
Secondhand.Smoke,secondhand_smoke_as_child
CIMP.status.meth,None
QC.status,None
TP53.mutation,None
PTEN.mutation,None
CDKN2A.mutation,None
KMT2D.mutation,None
NFE2L2.mutation,None
ARID1A.mutation,None
CUL3.mutation,None
BRCA2.mutation,None
KEAP1.mutation,None
SUZ12.mutation,None
NF1.mutation,None
PIK3CA.mutation,None
NOTCH1.mutation,None
TP53.mutation.status,None
PTEN.mutation.status,None
CDKN2A.mutation.status,None
KMT2D.mutation.status,None
NFE2L2.mutation.status,None
ARID1A.mutation.status,None
CUL3.mutation.status,None
BRCA2.mutation.status,None
KEAP1.mutation.status,None
SUZ12.mutation.status,None
NF1.mutation.status,None
PIK3CA.mutation.status,None
NOTCH1.mutation.status,None
CUL3.NFE2L2.KEAP1.mutation.status,None
KAT6A.cna.wes,None
SOX2.cna.wes,None
TP63.cna.wes,None
FGFR1.cna.wes,None
CDKN2A.cna.wes,None
CDKN2A.pathway.alteration,None
CDKN2A.pathway.alteration.status,None
PIK3CA.pathway.alteration,None
PIK3CA.pathway.alteration.status,None
FGFR3.TACC3.fusion.rna,None
TCGA.RNA.cluster,tumor_focality
NMF.subtype,None
NMF.subtype.core,None
NMF.subtype.membership.score,None
CIN.wes,None
Smoking.Signature.Fraction.wes,None
Smoking.Signature.Count.wes,None
Total.Mutation.Count.wes,None
Mutation.Count.ExcludingINDELs.wes,None
DNP.Count.wes,None
DNP.Count.GG.to.TT.or.CC.to.AA.wes,None
Smoking.score.wes,None
Smoking.Score.Category.wes,None
Mutation.Count.Excluding.Silent.wes,None
Total.Mutation.Count.per.Mb.wes,None
TCGA pan-can immune clustering,None
ESTIMATE.StromalScore.rna,None
ESTIMATE.ImmuneScore.rna,None
ESTIMATE.TumorPurity.rna,None
TSNet.Purity.rna,None
ImmuneCluster.rna,None
xCell.ImmuneScore.rna,None
xCell.StromaScore.rna,None
xCell.MicroenvironmentScore.rna,None
CIBERSORT.AbsoluteScore.rna,None
Unnamed: 0,None
Unnamed: 1,None
counts,None
Unnamed: 3,None
Unnamed: 4,Case_ID
Unnamed: 5,None
Unnamed: 6,None
p-values (Bonferroni corrected),None
Unnamed: 8,None
Unnamed: 9,None
Unnamed: 10,None
Unnamed: 11,None
