column_name,generated_column_type
Stratification group,None
Group value,tumor_focality
n,lymph_nodes_positive
events,days_to_recurrence
median,None
0.95LCL,None
0.95UCL,tumor_largest_dimension_diameter
log-rank p-value,None
case,Case_ID
sample_type,tissue_type
multiomic,None
nmf_consensus,None
nmf_cluster_membership,None
rna_wang_cancer_cell_2017,None
mRNA_stemness_index,None
dna_methyl,None
dna_methyl_consensus,None
dna_methyl_mnp,None
is_gcimp,None
mgmt_methyl_stp27_prediction,None
mgmt_methyl_stp27_probability,None
mgmt_methyl_clinical_test,None
mgmt_methyl_clinical_test_method,None
immune,None
xcell_immune_score,None
xcell_stroma_score,None
xcell_microenvironment_score,None
telomere,None
mirna,None
ancestry_prediction,race
ancestry_prediction_afr_prob,None
ancestry_prediction_amr_prob,None
ancestry_prediction_eas_prob,None
ancestry_prediction_eur_prob,None
ancestry_prediction_sas_prob,None
wxs_total_mutation,None
wgs_total_mutation,None
EGFR_alter_status,None
PTEN_alter_status,None
TP53_alter_status,None
NF1_alter_status,None
PDGFRA_alter_status,None
PIK3CA_alter_status,None
BRAF_alter_status,None
RB1_alter_status,None
ATRX_alter_status,None
IDH1_alter_status,None
PIK3R1_alter_status,None
TERT_alter_status,None
chr7_amp,None
chr10_del,None
aliquot_id,Case_ID
sample_id,Case_ID
original_aliquot_id,Case_ID
batch,None
plex,None
tmt_channel,None
research_id,Case_ID
kids_first_id,Case_ID
clinical_status_at_collection_event,vital_status
case_id,Case_ID
age,age_at_diagnosis
gender,gender
height,height
weight,weight
bmi,bmi
country_of_origin,None
race,race
ethnicity,ethnicity
ethnicity_self_identify,ethnicity
smoking_history,tobacco_smoking_status
secondhand_smoke_exposure,secondhand_smoke_as_child
tumor_laterality,biospecimen_laterality
tumor_site_curated,tissue_or_organ_of_origin
tumor_site_curation_notes,None
follow_up_period,None
vital_status,vital_status
path_diag_to_last_contact_days,days_to_last_follow_up
path_diag_to_death_days,None
cause_of_death,cause_of_death
lost_to_follow_up,last_known_disease_status
tumor_reoccur_after_treatment,progression_or_recurrence
path_diag_to_tumor_reoccur_days,days_to_recurrence
expert_path_review,None
expert_path_review_num_segments,None
expert_path_review_details,None
excluded_in_downstream_analysis,None
exclusion_reason,None
