column name,column type,description,maximum,minimum
aligned_reads_files,,Not specified,Not specified,Not specified
submitted_genotyping_arrays,,Not specified,Not specified,Not specified
workflow_link,string,Link to Github hash for the CWL workflow used.,Not specified,Not specified
workflow_version,string,Major version for a GDC workflow.,Not specified,Not specified
workflow_start_datetime,,Not specified,Not specified,Not specified
workflow_end_datetime,,Not specified,Not specified,Not specified
type,string,Not specified,Not specified,Not specified
id,string,Not specified,Not specified,Not specified
submitter_id,string,A project-specific identifier for a node. This property is the calling card/nickname/alias for a unit of submission. It can be used in place of the uuid for identifying or recalling a node.,Not specified,Not specified
batch_id,integer,GDC submission batch indicator. It is unique within the context of a project.,Not specified,Not specified
state,,Not specified,Not specified,Not specified
project_id,string,Not specified,Not specified,Not specified
created_datetime,,Not specified,Not specified,Not specified
updated_datetime,,Not specified,Not specified,Not specified
copy_number_variation_workflows,,Not specified,Not specified,Not specified
genomic_profile_harmonization_workflows,,Not specified,Not specified,Not specified
somatic_copy_number_workflows,,Not specified,Not specified,Not specified
file_name,string,Not specified,Not specified,Not specified
file_size,integer,Not specified,Not specified,Not specified
md5sum,string,Not specified,Not specified,Not specified
state_comment,string,"Optional comment about why the file is in the current state, mainly for invalid state.",Not specified,Not specified
a260_a280_ratio,number,"Numeric value that represents the sample ratio of nucleic acid absorbance at 260 nm and 280 nm, used to determine a measure of DNA purity.",Not specified,Not specified
amount,number,Weight in grams or volume in mL.,Not specified,Not specified
analyte_quantity,number,The quantity in micrograms (ug) of the analyte(s) derived from the analyte(s) shipped for sequencing and characterization.,Not specified,Not specified
analyte_volume,number,The volume in microliters (ul) of the aliquot(s) derived from the analyte(s) shipped for sequencing and characterization.,Not specified,Not specified
concentration,number,"Numeric value that represents the concentration of an analyte or aliquot extracted from the sample or sample portion, measured in milligrams per milliliter.",Not specified,Not specified
ribosomal_rna_28s_16s_ratio,number,The 28S/18S ribosomal RNA band ratio used to assess the quality of total RNA.,Not specified,Not specified
rna_integrity_number,number,"A numerical assessment of the integrity of RNA based on the entire electrophoretic trace of the RNA sample, including the presence or absence of degradation products.",Not specified,Not specified
spectrophotometer_method,string,Name of the method used to determine the concentration of purified nucleic acid within a solution.,Not specified,Not specified
well_number,string,Numeric value that represents the well location within a plate for the analyte or aliquot from the sample.,Not specified,Not specified
portions,,Not specified,Not specified,Not specified
samples,,Not specified,Not specified,Not specified
breslow_thickness,number,"The number that describes the distance, in millimeters, between the upper layer of the epidermis and the deepest point of tumor penetration.",Not specified,Not specified
circumferential_resection_margin,number,"Numeric value used to describe the non-peritonealised bare area of rectum, comprising anterior and posterior segments, when submitted as a surgical specimen resulting from excision of cancer of the rectum.",Not specified,Not specified
days_to_pathology_detail,integer,Number of days between the date used for index and the date a pathologic review of a specific sample or slide was performed.,Not specified,Not specified
epithelioid_cell_percent,number,The percent of uveal melanoma characterized by the presence of malignant large epithelioid melanocytes.,Not specified,Not specified
extrascleral_extension,boolean,Spread of uveal melanoma beyond the sclera.,Not specified,Not specified
greatest_tumor_dimension,number,Numeric value that represents the measurement of the widest portion of the tumor in centimeters.,Not specified,Not specified
gross_tumor_weight,number,"Numeric value used to describe the gross pathologic tumor weight, measured in grams.",Not specified,Not specified
lymph_nodes_positive,integer,The number of lymph nodes involved with disease as determined by pathologic examination.,Not specified,Not specified
lymph_nodes_tested,integer,The number of lymph nodes tested to determine whether lymph nodes were involved with disease as determined by a pathologic examination.,Not specified,Not specified
necrosis_percent,number,A quantitative measurement of the percent of cells undergoing necrosis compared to the number of total cells present in a sample.,Not specified,Not specified
number_proliferating_cells,integer,Numeric value that represents the count of proliferating cells determined during pathologic review of the sample slide(s).,Not specified,Not specified
percent_tumor_invasion,number,The percentage of tumor cells spread locally in a malignant neoplasm through infiltration or destruction of adjacent tissue.,Not specified,Not specified
percent_tumor_nuclei,number,Numeric value to represent the percentage of tumor nuclei in a malignant neoplasm sample or specimen.,Not specified,Not specified
peripancreatic_lymph_nodes_tested,integer,The total number of peripancreatic lymph nodes tested for the presence of pancreatic cancer cells.,Not specified,Not specified
prostatic_chips_positive_count,number,"The text term used to describe the number of positive prostatic chips, which are generated from transurethral resection of the prostate (TURP) procedures and are generally used for relieving urinary obstruction due to nodular hyperplasia of the prostate (benign prostatic hyperplasia).",Not specified,Not specified
prostatic_chips_total_count,number,"The text term used to describe the total number of prostatic chips, which are generated from transurethral resection of the prostate (TURP) procedures and are generally used for relieving urinary obstruction due to nodular hyperplasia of the prostate (benign prostatic hyperplasia).",Not specified,Not specified
prostatic_involvement_percent,number,Numeric value that represents the percentage of prostatic involvement found in a specific tissue sample.,Not specified,Not specified
rhabdoid_percent,number,Numeric value that represents the percentage of rhabdoid features found in a specific tissue sample.,Not specified,Not specified
sarcomatoid_percent,number,Numeric value that represents the percentage of sarcomatoid features found in a specific tissue sample.,Not specified,Not specified
size_extraocular_nodule,number,The size of the nodule that is outside the eye.,Not specified,Not specified
spindle_cell_percent,number,"The percent of uveal melanoma arising from the choroid, ciliary body, or the iris and characterized by the presence of spindle-shaped melanocytes.",Not specified,Not specified
tumor_depth_measurement,number,The numerical measurement of tumor depth.,Not specified,Not specified
tumor_largest_dimension_diameter,number,"Numeric value used to describe the maximum diameter or dimension of the primary tumor, measured in centimeters.",Not specified,Not specified
tumor_length_measurement,number,The numerical measurement of tumor length.,Not specified,Not specified
tumor_level_prostate,array,The level(s) of the prostate from which the tumor originated.,Not specified,Not specified
tumor_thickness,number,A measurement of the thickness of a sectioned slice (of tissue or mineral or other substance) in millimeters (mm).,Not specified,Not specified
tumor_width_measurement,number,The numerical measurement of tumor width.,Not specified,Not specified
diagnoses,,Not specified,Not specified,Not specified
average_base_quality,number,Average base quality collected from samtools.,Not specified,Not specified
average_insert_size,integer,Average insert size collected from samtools.,Not specified,Not specified
average_read_length,integer,Average read length collected from samtools.,Not specified,Not specified
contamination,number,Fraction of reads coming from cross-sample contamination collected from GATK4.,Not specified,Not specified
contamination_error,number,Estimation error of cross-sample contamination collected from GATK4.,Not specified,Not specified
mean_coverage,number,"Mean coverage for whole genome sequencing, or mean target coverage for whole exome and targeted sequencing, collected from Picard Tools.",Not specified,Not specified
msi_score,number,Numeric score denoting the aligned reads file's MSI score from MSIsensor.,Not specified,Not specified
pairs_on_diff_chr,integer,Pairs on different chromosomes collected from samtools.,Not specified,Not specified
proportion_base_mismatch,number,Proportion of mismatched bases collected from samtools.,Not specified,Not specified
proportion_coverage_10x,number,"Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 10X or greater coverage from Picard Tools.",Not specified,Not specified
proportion_coverage_30x,number,"Proportion of all reference bases for whole genome sequencing, or targeted bases for whole exome and targeted sequencing, that achieves 30X or greater coverage from Picard Tools.",Not specified,Not specified
proportion_reads_duplicated,number,Proportion of duplicated reads collected from samtools.,Not specified,Not specified
proportion_reads_mapped,number,Proportion of mapped reads collected from samtools.,Not specified,Not specified
proportion_targets_no_coverage,number,Proportion of targets that did not reach 1X coverage over any base from Picard Tools.,Not specified,Not specified
total_reads,integer,Total number of reads collected from samtools.,Not specified,Not specified
tumor_ploidy,number,"Numeric value used to describe the number of sets of chromosomes in a cell or an organism. For example, haploid means one set and diploid means two sets.",Not specified,Not specified
tumor_purity,number,Numeric value used to describe the ratio of tumor cells compared to total cells present in a sample.,Not specified,Not specified
alignment_cocleaning_workflows,,Not specified,Not specified,Not specified
alignment_workflows,,Not specified,Not specified,Not specified
submitted_unaligned_reads_files,,Not specified,Not specified,Not specified
submitted_aligned_reads_files,,Not specified,Not specified,Not specified
name,string,Full name/title of the program.,Not specified,Not specified
dbgap_accession_number,string,The dbgap accession number provided for the program.,Not specified,Not specified
bmi,number,A calculated numerical quantity that represents an individual's weight to height ratio.,Not specified,Not specified
body_surface_area,number,Numeric value used to represent the 2-dimensional extent of the body surface relating height to weight.,Not specified,Not specified
cd4_count,number,The text term used to describe the outcome of the procedure to determine the amount of the CD4 expressing cells in a sample.,Not specified,Not specified
comorbidities,array,"The text term used to describe a comorbidity disease, which coexists with the patient's malignant disease.",Not specified,Not specified
days_to_comorbidity,integer,Number of days between the date used for index and the date the patient was diagnosed with a comorbidity.,Not specified,Not specified
dlco_ref_predictive_percent,number,"The value, as a percentage of predicted lung volume, measuring the amount of carbon monoxide detected in a patient's lungs.",Not specified,Not specified
fev1_fvc_post_bronch_percent,number,Percentage value to represent result of Forced Expiratory Volume in 1 second (FEV1) divided by the Forced Vital Capacity (FVC) post-bronchodilator.,Not specified,Not specified
fev1_fvc_pre_bronch_percent,number,Percentage value to represent result of Forced Expiratory Volume in 1 second (FEV1) divided by the Forced Vital Capacity (FVC) pre-bronchodilator.,Not specified,Not specified
fev1_ref_post_bronch_percent,number,The percentage comparison to a normal value reference range of the volume of air that a patient can forcibly exhale from the lungs in one second post-bronchodilator.,Not specified,Not specified
fev1_ref_pre_bronch_percent,number,The percentage comparison to a normal value reference range of the volume of air that a patient can forcibly exhale from the lungs in one second pre-bronchodilator.,Not specified,Not specified
height,number,The height of the patient in centimeters.,Not specified,Not specified
hiv_viral_load,number,"Numeric value that represents the concentration of an analyte or aliquot extracted from the sample or sample portion, measured in milligrams per milliliter.",Not specified,Not specified
nadir_cd4_count,number,Numeric value that represents the lowest point to which the CD4 count has dropped (nadir).,Not specified,Not specified
pancreatitis_onset_year,integer,Numeric value to represent the year that the patient was diagnosed with clinical chronic pancreatitis.,Not specified,Not specified
pregnancy_count,integer,The number of times an individual has become pregnant.,Not specified,Not specified
risk_factors,array,The text term used to describe a risk factor the patient had at the time of or prior to their diagnosis.,Not specified,Not specified
undescended_testis_corrected_age,integer,The patient's age when their undescended testis was corrected.,Not specified,Not specified
weeks_gestation_at_birth,number,Numeric value used to describe the number of weeks starting from the approximate date of the biological mother's last menstrual period and ending with the birth of the patient.,Not specified,Not specified
weight,number,The weight of the patient measured in kilograms.,Not specified,Not specified
cases,,Not specified,Not specified,Not specified
follow_ups,,Not specified,Not specified,Not specified
encoding,string,Version of ASCII encoding of quality values found in the file.,Not specified,Not specified
fastq_name,string,The name (or part of a name) of a file (of any type).,Not specified,Not specified
percent_gc_content,integer,The overall %GC of all bases in all sequences.,Not specified,Not specified
total_sequences,integer,A count of the total number of sequences processed.,Not specified,Not specified
read_groups,,Not specified,Not specified,Not specified
aliquot_quantity,number,The quantity in micrograms (ug) of the aliquot(s) derived from the analyte(s) shipped for sequencing and characterization.,Not specified,Not specified
aliquot_volume,number,The volume in microliters (ul) of the aliquot(s) derived from the analyte(s) shipped for sequencing and characterization.,Not specified,Not specified
no_matched_normal_low_pass_wgs,boolean,There will be no matched normal low pass WGS aliquots for this case that can be used for variant calling purposes. The GDC may elect to use a single tumor calling pipeline to process this data.,Not specified,Not specified
