l_column_id,r_column_id,l_table_id,r_table_id
a260_a280_ratio,protein_purity_ratio,gdc_table,gdc_table_synthetic
aa_change,mutation_code,gdc_table,gdc_table_synthetic
adapter_content,seq_quality_status,gdc_table,gdc_table_synthetic
adapter_name,sequencing_library_adapters,gdc_table,gdc_table_synthetic
adapter_sequence,adapter_seq,gdc_table,gdc_table_synthetic
additional_pathology_findings,additional_findings,gdc_table,gdc_table_synthetic
adrenal_hormone,adrenal_gland_function,gdc_table,gdc_table_synthetic
adverse_event,side_effects,gdc_table,gdc_table_synthetic
adverse_event_grade,toxicity_grade,gdc_table,gdc_table_synthetic
age_at_diagnosis,age_at_dx_days,gdc_table,gdc_table_synthetic
age_at_index,age_at_diagnosis,gdc_table,gdc_table_synthetic
age_at_last_exposure,last_age_exposure,gdc_table,gdc_table_synthetic
age_at_onset,age_of_diagnosis,gdc_table,gdc_table_synthetic
age_is_obfuscated,age_privacy_masked,gdc_table,gdc_table_synthetic
aggregated_somatic_mutations,oncogene_variants,gdc_table,gdc_table_synthetic
aids_risk_factors,HIV_associated_conditions,gdc_table,gdc_table_synthetic
ajcc_clinical_m,clinical_metastasis_stage,gdc_table,gdc_table_synthetic
ajcc_clinical_n,clinical_n_stage,gdc_table,gdc_table_synthetic
ajcc_clinical_stage,clinical_stage_group,gdc_table,gdc_table_synthetic
ajcc_clinical_t,clinical_t_stage,gdc_table,gdc_table_synthetic
ajcc_pathologic_m,pathologic_m_stage,gdc_table,gdc_table_synthetic
ajcc_pathologic_n,ajcc_pn_stage,gdc_table,gdc_table_synthetic
ajcc_pathologic_stage,pathologic_tnm_stage,gdc_table,gdc_table_synthetic
ajcc_pathologic_t,tumor_stage_tnm,gdc_table,gdc_table_synthetic
ajcc_staging_system_edition,ajcc_version,gdc_table,gdc_table_synthetic
alcohol_days_per_week,alcohol_consumption_days_weekly,gdc_table,gdc_table_synthetic
alcohol_drinks_per_day,daily_alcohol_intake_units,gdc_table,gdc_table_synthetic
alcohol_frequency,alcohol_consumption_frequency,gdc_table,gdc_table_synthetic
alcohol_history,alcohol_use_history,gdc_table,gdc_table_synthetic
alcohol_intensity,alcohol_consumption_category,gdc_table,gdc_table_synthetic
alcohol_type,alcohol_consumption_type,gdc_table,gdc_table_synthetic
aligned_reads_files,sequencing_data_files,gdc_table,gdc_table_synthetic
aligned_reads_indexes,read_alignment_indices,gdc_table,gdc_table_synthetic
alignment_cocleaning_workflows,genomic_data_preprocessing_steps,gdc_table,gdc_table_synthetic
alignment_workflows,sequencing_alignment_tools,gdc_table,gdc_table_synthetic
aliquot_quantity,sample_volume_ml,gdc_table,gdc_table_synthetic
aliquot_volume,sample_volume_ul,gdc_table,gdc_table_synthetic
aliquots,sample_types,gdc_table,gdc_table_synthetic
amount,dose_mg,gdc_table,gdc_table_synthetic
analysis_metadata_files,study_data_files,gdc_table,gdc_table_synthetic
analyte_quantity,conc_level,gdc_table,gdc_table_synthetic
analyte_type,sample_type,gdc_table,gdc_table_synthetic
analyte_type_id,biomarker_type,gdc_table,gdc_table_synthetic
analyte_volume,sample_vol_ul,gdc_table,gdc_table_synthetic
analytes,biomarkers,gdc_table,gdc_table_synthetic
anaplasia_present,anaplasia_status,gdc_table,gdc_table_synthetic
anaplasia_present_type,anaplasia_status,gdc_table,gdc_table_synthetic
aneuploidy,chromosome_aberration_type,gdc_table,gdc_table_synthetic
ann_arbor_b_symptoms,b_symptoms_presence,gdc_table,gdc_table_synthetic
ann_arbor_b_symptoms_described,ann_arbor_B_symptoms,gdc_table,gdc_table_synthetic
ann_arbor_clinical_stage,TNM_stage,gdc_table,gdc_table_synthetic
ann_arbor_extranodal_involvement,ann_arbor_extra_nodal,gdc_table,gdc_table_synthetic
ann_arbor_pathologic_stage,clinical_stage,gdc_table,gdc_table_synthetic
annotated_somatic_mutations,somatic_mutation_annotations,gdc_table,gdc_table_synthetic
antigen,cell_marker,gdc_table,gdc_table_synthetic
archives,genomic_databases,gdc_table,gdc_table_synthetic
asbestos_exposure,asbestos_history,gdc_table,gdc_table_synthetic
asbestos_exposure_type,asbestos_fiber_type,gdc_table,gdc_table_synthetic
average_base_quality,avg_base_qual,gdc_table,gdc_table_synthetic
average_insert_size,avg_ins_size,gdc_table,gdc_table_synthetic
average_read_length,seq_read_len_avg,gdc_table,gdc_table_synthetic
awg_review,genomic_data_reviewed,gdc_table,gdc_table_synthetic
barretts_esophagus_goblet_cells_present,be_goblet_cells_detected,gdc_table,gdc_table_synthetic
base_caller_name,variant_calling_tool,gdc_table,gdc_table_synthetic
base_caller_version,sequencing_software_version,gdc_table,gdc_table_synthetic
basic_statistics,quality_control_status,gdc_table,gdc_table_synthetic
batch_id,batch_number,gdc_table,gdc_table_synthetic
bcr_id,biorepository_code,gdc_table,gdc_table_synthetic
best_overall_response,treatment_response_outcome,gdc_table,gdc_table_synthetic
biospecimen_anatomic_site,sample_anatomic_location,gdc_table,gdc_table_synthetic
biospecimen_laterality,specimen_side,gdc_table,gdc_table_synthetic
biospecimen_supplements,cell_culture_additives,gdc_table,gdc_table_synthetic
biospecimen_type,sample_type,gdc_table,gdc_table_synthetic
biospecimen_volume,sample_volume_ml,gdc_table,gdc_table_synthetic
