TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Wang_clinical_data,vital_status,vital_status,1.0
target,Cao_Clinical_data,vital_status,vital_status,1.0
target,Wang_clinical_data,gender,gender,1.0
target,Huang_Meta_table,gender,gender,1.0
target,Cao_Clinical_data,tumor_focality,tumor_focality,1.0
target,Huang_Meta_table,tumor_focality,tumor_focality,1.0
target,Wang_clinical_data,race,race,1.0
target,Cao_Clinical_data,race,race,1.0
target,Wang_clinical_data,ethnicity,ethnicity,0.9999992987636404
target,Clark_ccrcc_clinical_characteristics,tumor_focality,Tumor_Focality,0.9514792425570056
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_focality,Tumor_Focality,0.9514792425570056
target,Satpathy_Table_S1A,gender,Gender,0.9392409643359092
target,Krug_A)_Metadata,gender,Gender,0.9392409643359092
target,Vasaikar_B-ClinicalData,gender,Gender,0.9392409643359092
target,McDermott_BaselineClinicalData,gender,Gender,0.9392409643359092
target,Gillette_Annotions_S1A,gender,Gender,0.9392409643359092
target,Dou_UCEC_CPTAC3_meta_table_V2.1,gender,Gender,0.9392409643359092
target,Clark_ccrcc_clinical_characteristics,gender,Gender,0.9392409643359092
target,Krug_A)_Metadata,ethnicity,Ethnicity,0.8865531139559087
target,Satpathy_Table_S1A,ethnicity,Ethnicity,0.8865531139559087
target,McDermott_BaselineClinicalData,ethnicity,Ethnicity,0.8865531139559087
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ethnicity,Ethnicity,0.8865531139559087
target,Gillette_Annotions_S1A,ethnicity,Ethnicity,0.8864610259766157
target,Clark_ccrcc_clinical_characteristics,race,Race,0.8727293698884933
target,McDermott_BaselineClinicalData,race,Race,0.8727293698884933
target,Dou_UCEC_CPTAC3_meta_table_V2.1,race,Race,0.8727293698884933
target,McDermott_BaselineClinicalData,tumor_grade,Tumor Grade,0.8586023317317598
target,Vasaikar_B-ClinicalData,vital_status,Vital.Status,0.8244046296091387
target,Huang_Meta_table,tumor_grade,tumor_stage,0.7502103182527254
target,Cao_Molecular_phenotype_data,case_submitter_id,case_id,0.7366149047126508
target,Wang_clinical_data,case_submitter_id,case_id,0.7365879319811768
