TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Clark_ccrcc_clinical_characteristics,case_submitter_id,Case_ID,0.7365879319811768
target,Clark_ccrcc_clinical_characteristics,age_at_diagnosis,Age,0.5528434612774927
target,Clark_ccrcc_clinical_characteristics,tumor_focality,Tumor_Focality,1.0
target,Clark_ccrcc_clinical_characteristics,tumor_largest_dimension_diameter,Tumor_Size_cm,0.7109463893499526
target,Clark_ccrcc_clinical_characteristics,primary_diagnosis,Path_Stage_Primary_Tumor_pT,0.4852761565090671
target,Clark_ccrcc_clinical_characteristics,morphology,Histologic_Type,0.49629529671721717
target,Clark_RNA-seq_sequencing_depth,tissue_or_organ_of_origin,Tissue Type,0.6492321917869289
target,Clark_ccrcc_clinical_characteristics,tumor_code,Tumor_Site,0.7108715357261514
target,Clark_ccrcc_clinical_characteristics,study,Grade,0.44222097826828155
target,Clark_ccrcc_clinical_characteristics,race,Race,1.0
target,Clark_ccrcc_clinical_characteristics,ethnicity,Ethnicity_Self_Identify,0.7260819286311266
target,Clark_ccrcc_clinical_characteristics,gender,Gender,1.0
target,Clark_ccrcc_clinical_characteristics,vital_status,Grade,0.3528425358352747
target,Clark_ccrcc_clinical_characteristics,ajcc_pathologic_t,Tumor_Stage_Pathological,0.4466853987694568
target,Clark_ccrcc_clinical_characteristics,ajcc_pathologic_n,Tumor_Stage_Pathological,0.43583032565568525
target,Clark_ccrcc_clinical_characteristics,ajcc_pathologic_stage,Tumor_Stage_Pathological,0.5970548658219651
target,Clark_ccrcc_clinical_characteristics,tumor_grade,Tumor_Site,0.6818813698376109
