TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Huang_Meta_table,case_submitter_id,case_id,0.7365879319811768
target,Huang_Meta_table,age_at_diagnosis,age,0.5528751958985223
target,Huang_Meta_table,tumor_focality,tumor_focality,1.0
target,Huang_Meta_table,tumor_largest_dimension_diameter,tumor_size_cm,0.7109463893499526
target,Huang_Meta_table,primary_diagnosis,patho_staging_pt,0.43151002353781454
target,Huang_Meta_table,morphology,histologic_type,0.49629529671721717
target,Huang_Meta_table,tissue_or_organ_of_origin,tumor_site_original,0.5129051794866809
target,Huang_Meta_table,tumor_code,tumor_stage,0.7083512535394041
target,Huang_TMT-set,study,type,0.35774737019084446
target,Huang_Meta_table,race,gender,0.5347697312452262
target,Huang_Meta_table,ethnicity,gender,0.38554506474936634
target,Huang_Meta_table,gender,gender,0.9999993014051907
target,Huang_Meta_table,vital_status,stemness_score,0.4195015188869341
target,Huang_Meta_table,ajcc_pathologic_t,NAT_pathology_review,0.47948323250786706
target,Huang_Meta_table,ajcc_pathologic_n,NAT_pathology_review,0.5078884235827827
target,Huang_Meta_table,ajcc_pathologic_stage,patho_staging_pt,0.6101607598370778
target,Huang_Meta_table,tumor_grade,tumor_stage,0.7502103182527255
