TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Satpathy_Table_S1A,case_submitter_id,Participant,0.3945295200459057
target,Satpathy_Table_S1A,age_at_diagnosis,Age,0.5528751958985223
target,Satpathy_Table_S1C,tumor_focality,NMF cluster (p<0.05),0.3671048815907656
target,Satpathy_Table_S1A,tumor_largest_dimension_diameter,TCGA.RNA.cluster,0.3066381755791685
target,Satpathy_Table_S1A,primary_diagnosis,Pathology.based.histology.assessment,0.35512147433247576
target,Satpathy_Table_S1A,morphology,Pathology.based.histology.assessment,0.48381896425508575
target,Satpathy_Table_S1A,tissue_or_organ_of_origin,Country.of.Origin,0.4638526527314901
target,Satpathy_Table_S1A,tumor_code,TCGA.RNA.cluster,0.45645961758873144
target,Satpathy_Table_S1A,study,Stage,0.504586138792739
target,Satpathy_Table_S1A,race,Ethnicity,0.535208938024419
target,Satpathy_Table_S1A,ethnicity,Ethnicity,1.0
target,Satpathy_Table_S1A,gender,Gender,0.9999993936493549
target,Satpathy_Table_S1A,vital_status,QC.status,0.43351727724136824
target,Satpathy_Table_S1A,ajcc_pathologic_t,PIK3CA.pathway.alteration,0.39647040082744445
target,Satpathy_Table_S1A,ajcc_pathologic_n,CDKN2A.pathway.alteration.status,0.4109726983089186
target,Satpathy_Table_S1A,ajcc_pathologic_stage,Pathology.based.histology.assessment,0.45948995873329923
target,Satpathy_Table_S1A,tumor_grade,TP53.mutation.status,0.4409805102268096
