TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Wang_clinical_data,case_submitter_id,case_id,0.7365879319811768
target,Wang_clinical_data,age_at_diagnosis,age,0.5528751958985223
target,Wang_clinical_data,tumor_focality,tumor_laterality,0.6994594426124994
target,Wang_clinical_data,tumor_largest_dimension_diameter,tumor_laterality,0.6739001418780944
target,Wang_clinical_data,primary_diagnosis,cause_of_death,0.4393410167610885
target,Wang_clinical_data,morphology,gender,0.33871464246557126
target,Wang_clinical_data,tissue_or_organ_of_origin,country_of_origin,0.5066577554982117
target,Wang_clinical_data,tumor_code,tumor_site_curated,0.6159162224606981
target,Wang_cbttc_sample_info,study,research_id,0.38631008499361785
target,Wang_clinical_data,race,race,1.0
target,Wang_clinical_data,ethnicity,ethnicity,1.0
target,Wang_clinical_data,gender,gender,1.0
target,Wang_clinical_data,vital_status,vital_status,1.0
target,Wang_clinical_data,ajcc_pathologic_t,path_diag_to_tumor_reoccur_days,0.368311150940724
target,Wang_additional_annotations,ajcc_pathologic_n,chr7_amp,0.38450439751820065
target,Wang_cbttc_sample_info,ajcc_pathologic_stage,clinical_status_at_collection_event,0.39469670024620473
target,Wang_clinical_data,tumor_grade,tumor_laterality,0.6459906547390201
