TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Cao_TMT_labeling_scheme,case_submitter_id,case_id,0.6155870834133177
target,Cao_Clinical_data,age_at_diagnosis,histology_diagnosis,0.4702546732810242
target,Cao_Clinical_data,tumor_focality,tumor_focality,0.7909553033593035
target,Cao_Clinical_data,tumor_largest_dimension_diameter,tumor_size_cm,0.6628997339360623
target,Cao_Clinical_data,primary_diagnosis,histology_diagnosis,0.47215153482972017
target,Cao_Clinical_data,morphology,histology_diagnosis,0.37351912294356726
target,Cao_Clinical_data,tissue_or_organ_of_origin,tumor_site,0.40440813122064
target,Cao_Clinical_data,tumor_code,tumor_size_cm,0.5758626737385193
target,Cao_Clinical_data,study,normal_included_for_the_study,0.3360652686533141
target,Cao_Clinical_data,race,race,0.5831952796724339
target,Cao_Clinical_data,ethnicity,race,0.4299920153172825
target,Cao_Clinical_data,gender,sex,0.47322687940777497
target,Cao_Clinical_data,vital_status,vital_status,0.6856744836498998
target,Cao_Clinical_data,ajcc_pathologic_t,pathologic_staging_primary_tumor_pt,0.419958082109793
target,Cao_Clinical_data,ajcc_pathologic_n,histology_diagnosis,0.40723748159013207
target,Cao_Clinical_data,ajcc_pathologic_stage,tumor_stage_pathological,0.538919649551109
target,Cao_Clinical_data,tumor_grade,tumor_size_cm,0.6181987115425602
