TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Dou_UCEC_CPTAC3_meta_table_V2.1,case_submitter_id,Case_excluded,0.4665837128748227
target,Dou_UCEC_CPTAC3_meta_table_V2.1,age_at_diagnosis,Age,0.3930272120061349
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_focality,Tumor_Focality,0.7972035128172824
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_largest_dimension_diameter,Tumor_Size_cm,0.6634259989441056
target,Dou_UCEC_CPTAC3_meta_table_V2.1,primary_diagnosis,Path_Stage_Primary_Tumor-pT,0.39312151035926846
target,Dou_UCEC_CPTAC3_meta_table_V2.1,morphology,Histologic_Grade_FIGO,0.3886574250284416
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tissue_or_organ_of_origin,Tumor_Site,0.44660118559260376
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_code,WXS_tumor_sample_type,0.5757031638385405
target,Dou_UCEC_CPTAC3_meta_table_V2.1,study,idx,0.2948931262889417
target,Dou_UCEC_CPTAC3_meta_table_V2.1,race,Race,0.5831952796724339
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ethnicity,Ethnicity,0.5531783411934086
target,Dou_UCEC_CPTAC3_meta_table_V2.1,gender,Gender,0.5747133492331281
target,Dou_UCEC_CPTAC3_meta_table_V2.1,vital_status,Stemness_score,0.3564079601632577
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ajcc_pathologic_t,Pathway_activity_JAK.STAT,0.41690314901186776
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ajcc_pathologic_n,Pathway_activity_JAK.STAT,0.4159234915230998
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ajcc_pathologic_stage,tumor_Stage-Pathological,0.5749409389205714
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_grade,Tumor_Size_cm,0.6193211617114066
