TargetColumn,Similarity,CandidateColumn
target_0,0.4179124480253449,Gillette_Annotions_S1A_1
target_1,0.375647668872371,Gillette_Annotions_S1A_10
target_10,0.5268739716604255,Gillette_Annotions_S1A_4
target_11,0.4525111302504212,Gillette_Annotions_S1A_30
target_12,0.3372432479714016,Gillette_Annotions_S1A_7
target_13,0.3251199729394928,Gillette_Annotions_S1A_66
target_14,0.40267077276785757,Gillette_Annotions_S1A_4
target_15,0.5548776847735579,Gillette_Annotions_S1A_4
target_16,0.29878650820379127,Gillette_Annotions_S1A_65
target_2,0.38058381819371734,Gillette_Annotions_S1A_12
target_3,0.5970814779821552,Gillette_Annotions_S1A_12
target_4,0.5712871582006795,Gillette_Annotions_S1A_11
target_5,0.36258514870867486,Gillette_Annotions_S1A_6
target_6,0.34222734717468617,Gillette_Annotions_S1A_1
target_7,0.37374463633476684,Gillette_Annotions_S1A_1
target_8,0.45352690479269475,Gillette_Annotions_S1A_7
target_9,0.5790848791293934,Gillette_Annotions_S1A_4
