TargetColumn,Similarity,CandidateColumn
target_0,0.4460501941345598,Satpathy_Table_S1A_1
target_1,0.37068256371593744,Satpathy_Table_S1A_10
target_10,0.5329069367725211,Satpathy_Table_S1A_4
target_11,0.4353535584185031,Satpathy_Table_S1A_4
target_12,0.316199962663944,Satpathy_Table_S1C_1
target_13,0.3278745198176487,Satpathy_Table_S1A_14
target_14,0.41656239222406277,Satpathy_Table_S1A_4
target_15,0.5560728721049213,Satpathy_Table_S1A_4
target_16,0.2946762590343023,Satpathy_Table_S1A_2
target_2,0.4190610480106389,Satpathy_Table_S1A_12
target_3,0.679443723664356,Satpathy_Table_S1A_13
target_4,0.5423882213532353,Satpathy_Table_S1A_11
target_5,0.3425147460753839,Satpathy_Table_S1A_33
target_6,0.3888779998808847,Satpathy_Table_S1A_53
target_7,0.41277011027114885,Satpathy_Table_S1A_53
target_8,0.4260104000692986,Satpathy_Table_S1A_8
target_9,0.5812272609376083,Satpathy_Table_S1A_4
