TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Satpathy_Table_S1A,case_submitter_id,Participant,0.4460501941345598
target,Satpathy_Table_S1A,age_at_diagnosis,Age,0.37068256371593744
target,Satpathy_Table_S1A,tumor_focality,Type,0.5329069367725211
target,Satpathy_Table_S1A,tumor_largest_dimension_diameter,Type,0.4353535584185031
target,Satpathy_Table_S1C,primary_diagnosis,Unnamed: 1,0.316199962663944
target,Satpathy_Table_S1A,morphology,Pathology.based.histology.assessment,0.3278745198176487
target,Satpathy_Table_S1A,tissue_or_organ_of_origin,Type,0.41656239222406277
target,Satpathy_Table_S1A,tumor_code,Type,0.5560728721049213
target,Satpathy_Table_S1A,study,Experiment,0.2946762590343023
target,Satpathy_Table_S1A,race,Ethnicity,0.4190610480106389
target,Satpathy_Table_S1A,ethnicity,Ethnicity_mod,0.679443723664356
target,Satpathy_Table_S1A,gender,Gender,0.5423882213532353
target,Satpathy_Table_S1A,vital_status,TP53.mutation.status,0.3425147460753839
target,Satpathy_Table_S1A,ajcc_pathologic_t,CDKN2A.pathway.alteration.status,0.3888779998808847
target,Satpathy_Table_S1A,ajcc_pathologic_n,CDKN2A.pathway.alteration.status,0.41277011027114885
target,Satpathy_Table_S1A,ajcc_pathologic_stage,Stage_mod,0.4260104000692986
target,Satpathy_Table_S1A,tumor_grade,Type,0.5812272609376083
