TargetColumn,Similarity,CandidateColumn
target_0,0.4811688086793786,Clark_ccrcc_clinical_characteristics_0
target_1,0.44952804350628095,Clark_ccrcc_clinical_characteristics_3
target_10,0.9514792425570057,Clark_ccrcc_clinical_characteristics_10
target_11,0.696955831931648,Clark_ccrcc_clinical_characteristics_9
target_12,0.42224689536175974,Clark_ccrcc_clinical_characteristics_14
target_13,0.4504887256587896,Clark_ccrcc_clinical_characteristics_11
target_14,0.6173149926531744,Clark_RNA-seq_sequencing_depth_1
target_15,0.6178839284420156,Clark_ccrcc_clinical_characteristics_7
target_16,0.4108111660616851,Clark_ccrcc_clinical_characteristics_12
target_2,0.8727293698884933,Clark_ccrcc_clinical_characteristics_5
target_3,0.6517840464938931,Clark_ccrcc_clinical_characteristics_6
target_4,0.9392409643359091,Clark_ccrcc_clinical_characteristics_2
target_5,0.3353592996007341,Clark_ccrcc_clinical_characteristics_4
target_6,0.44779974319020965,Clark_ccrcc_clinical_characteristics_13
target_7,0.4449974466619997,Clark_ccrcc_clinical_characteristics_13
target_8,0.5818087830348941,Clark_ccrcc_clinical_characteristics_13
target_9,0.6201404775815258,Clark_ccrcc_clinical_characteristics_7
