TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Dou_UCEC_CPTAC3_meta_table_V2.1,case_submitter_id,Proteomics_Aliquot_ID,0.46555009514609025
target,Dou_UCEC_CPTAC3_meta_table_V2.1,age_at_diagnosis,Age,0.44952804350628095
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_focality,Tumor_Focality,0.9514792425570057
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_largest_dimension_diameter,Tumor_Size_cm,0.696955831931648
target,Dou_UCEC_CPTAC3_meta_table_V2.1,primary_diagnosis,Path_Stage_Primary_Tumor-pT,0.4277069085074843
target,Dou_UCEC_CPTAC3_meta_table_V2.1,morphology,Histologic_type,0.4802851429316043
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tissue_or_organ_of_origin,Tumor_Site_Other,0.4868900366398994
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_code,Tumor_Site,0.6178839284420156
target,Dou_UCEC_CPTAC3_meta_table_V2.1,study,Race,0.31299244356744427
target,Dou_UCEC_CPTAC3_meta_table_V2.1,race,Race,0.8727293698884933
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ethnicity,Ethnicity,0.8865531139559087
target,Dou_UCEC_CPTAC3_meta_table_V2.1,gender,Gender,0.9392409643359091
target,Dou_UCEC_CPTAC3_meta_table_V2.1,vital_status,MSI_status,0.46145907879524495
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ajcc_pathologic_t,Pathway_activity_JAK.STAT,0.4504881292429007
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ajcc_pathologic_n,Pathway_activity_JAK.STAT,0.4389674363979963
target,Dou_UCEC_CPTAC3_meta_table_V2.1,ajcc_pathologic_stage,tumor_Stage-Pathological,0.5712153008469711
target,Dou_UCEC_CPTAC3_meta_table_V2.1,tumor_grade,tumor_Stage-Pathological,0.6670321366335139
