TargetColumn,Similarity,CandidateColumn
target_0,0.42749435032510896,Gillette_Annotions_S1A_0
target_1,0.44952804350628095,Gillette_Annotions_S1A_10
target_10,0.4580587365700598,Gillette_Annotions_S1A_30
target_11,0.4266987423381775,Gillette_Annotions_S1A_30
target_12,0.3458977246125028,Gillette_Annotions_S1A_41
target_13,0.384044390074719,Gillette_Annotions_S1A_4
target_14,0.48639090365593773,Gillette_Annotions_S1A_8
target_15,0.4998111133261707,Gillette_Annotions_S1A_30
target_16,0.5205255771844701,Gillette_Annotions_S1A_7
target_2,0.5227027145131871,Gillette_Annotions_S1A_11
target_3,0.8864610259766157,Gillette_Annotions_S1A_12
target_4,0.9392409643359091,Gillette_Annotions_S1A_11
target_5,0.42707152042579866,Gillette_Annotions_S1A_6
target_6,0.3175138321914206,Gillette_Annotions_S1A_35
target_7,0.3146140597402345,Gillette_Annotions_S1A_35
target_8,0.4343527915376775,Gillette_Annotions_S1A_7
target_9,0.515913167190529,Gillette_Annotions_S1A_30
