TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Huang_Data_availabilty,case_submitter_id,case_id,0.7365879319811768
target,Huang_Meta_table,age_at_diagnosis,age,0.5528751958985221
target,Huang_Meta_table,tumor_focality,tumor_focality,1.0
target,Huang_Meta_table,tumor_largest_dimension_diameter,tumor_size_cm,0.7109463893499525
target,Huang_Meta_table,primary_diagnosis,patho_staging_pt,0.4315100235378144
target,Huang_Meta_table,morphology,histologic_type,0.49629529671721717
target,Huang_Meta_table,tissue_or_organ_of_origin,tumor_site_original,0.5129051794866808
target,Huang_Meta_table,tumor_code,tumor_stage,0.708351253539404
target,Huang_TMT-set,study,type,0.34815814671819934
target,Huang_Meta_table,race,gender,0.5347657151372488
target,Huang_Meta_table,ethnicity,gender,0.38550745432081046
target,Huang_Meta_table,gender,gender,1.0
target,Huang_Meta_table,vital_status,stemness_score,0.4195015188869341
target,Huang_Meta_table,ajcc_pathologic_t,NAT_pathology_review,0.447078860662647
target,Huang_Meta_table,ajcc_pathologic_n,NAT_pathology_review,0.47635925396237666
target,Huang_Meta_table,ajcc_pathologic_stage,patho_staging_pt,0.6101607598370778
target,Huang_Meta_table,tumor_grade,tumor_stage,0.7502103182527254
