TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,McDermott_OneYearFollowUp,case_submitter_id,CPTAC Case ID,0.42320148731250173
target,McDermott_BaselineClinicalData,age_at_diagnosis,Age in Months at Time of Tissue Procurement 	,0.45846596809573115
target,McDermott_OneYearFollowUp,tumor_focality,Tumor analyzed,0.5945664309702391
target,McDermott_BaselineClinicalData,tumor_largest_dimension_diameter,Tumor Residual Disease (for the max diameter of the largest remaining tumor nodule),0.6184353588986715
target,McDermott_BaselineClinicalData,primary_diagnosis,Method of Initial Pathologic Diagnosis,0.5541188952123627
target,McDermott_OneYearFollowUp,morphology,Histological Type,0.453917293888332
target,McDermott_BaselineClinicalData,tissue_or_organ_of_origin,Anatomic site of Tumor Specimen,0.5010521276429402
target,McDermott_OneYearFollowUp,tumor_code,Tumor analyzed,0.6049717826593903
target,McDermott_BaselineClinicalData,study,Race,0.31299244356744427
target,McDermott_BaselineClinicalData,race,Race,0.8727293698884933
target,McDermott_BaselineClinicalData,ethnicity,Ethnicity,0.8865531139559087
target,McDermott_BaselineClinicalData,gender,Gender,0.9392409643359091
target,McDermott_OneYearFollowUp,vital_status,Vital Status (at time of last contact),0.7129223511055149
target,McDermott_BaselineClinicalData,ajcc_pathologic_t,Method of Initial Pathologic Diagnosis,0.4122220989416542
target,McDermott_BaselineClinicalData,ajcc_pathologic_n,Method of Initial Pathologic Diagnosis,0.41798457382346776
target,McDermott_OneYearFollowUp,ajcc_pathologic_stage,AJCC Tumor Stage,0.5597747543313609
target,McDermott_BaselineClinicalData,tumor_grade,Tumor Grade,0.8586023317317598
