TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Satpathy_Table_S1A,case_submitter_id,Sample.ID,0.42749435032510896
target,Satpathy_Table_S1A,age_at_diagnosis,Age,0.44952804350628095
target,Satpathy_Table_S1A,tumor_focality,ESTIMATE.TumorPurity.rna,0.42918414880332767
target,Satpathy_Table_S1A,tumor_largest_dimension_diameter,ESTIMATE.TumorPurity.rna,0.3896948435950969
target,Satpathy_Table_S1A,primary_diagnosis,Pathology.based.histology.assessment,0.3308392845807686
target,Satpathy_Table_S1A,morphology,Pathology.based.histology.assessment,0.47934442476775163
target,Satpathy_Table_S1A,tissue_or_organ_of_origin,Country.of.Origin,0.4189223252888825
target,Satpathy_Table_S1A,tumor_code,ESTIMATE.TumorPurity.rna,0.48456668900663424
target,Satpathy_Table_S1A,study,Stage,0.5205255771844701
target,Satpathy_Table_S1A,race,Gender,0.5227027145131871
target,Satpathy_Table_S1A,ethnicity,Ethnicity,0.8865531139559087
target,Satpathy_Table_S1A,gender,Gender,0.9392409643359091
target,Satpathy_Table_S1A,vital_status,Stage,0.3940838462095202
target,Satpathy_Table_S1A,ajcc_pathologic_t,Pathology.based.histology.assessment,0.3800524358934183
target,Satpathy_Table_S1A,ajcc_pathologic_n,CDKN2A.pathway.alteration.status,0.39090380212035614
target,Satpathy_Table_S1A,ajcc_pathologic_stage,Pathology.based.histology.assessment,0.4520196976033144
target,Satpathy_Table_S1A,tumor_grade,ESTIMATE.TumorPurity.rna,0.5038405377218712
