TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Vasaikar_B-ClinicalData,case_submitter_id,SampleID,0.5160237831376024
target,Vasaikar_B-ClinicalData,age_at_diagnosis,Age,0.44952804350628095
target,Vasaikar_B-ClinicalData,tumor_focality,TumorPurity,0.5447168929526928
target,Vasaikar_B-ClinicalData,tumor_largest_dimension_diameter,TumorPurity,0.49471821793933235
target,Vasaikar_B-ClinicalData,primary_diagnosis,Clinical,0.393716444365551
target,Vasaikar_A-Annotation,morphology,Definition,0.3168665988549051
target,Vasaikar_B-ClinicalData,tissue_or_organ_of_origin,TumorPurity,0.3736382636158557
target,Vasaikar_B-ClinicalData,tumor_code,Tumor.Status,0.6409494447112762
target,Vasaikar_B-ClinicalData,study,Stage,0.5205538312603273
target,Vasaikar_B-ClinicalData,race,Gender,0.5227027145131871
target,Vasaikar_B-ClinicalData,ethnicity,Gender,0.37191421184961027
target,Vasaikar_B-ClinicalData,gender,Gender,0.9392409643359091
target,Vasaikar_B-ClinicalData,vital_status,Vital.Status,0.8244046296091387
target,Vasaikar_B-ClinicalData,ajcc_pathologic_t,PT,0.3577180175771607
target,Vasaikar_B-ClinicalData,ajcc_pathologic_n,Clinical,0.3493822908872588
target,Vasaikar_B-ClinicalData,ajcc_pathologic_stage,Stage,0.4344196805442293
target,Vasaikar_B-ClinicalData,tumor_grade,Tumor.Status,0.6678643031386374
