TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Cao_TMT_labeling_scheme,case_submitter_id,case_id,0.9091949842160542
target,Cao_Clinical_data,age_at_diagnosis,age,0.5195905716676086
target,Cao_Clinical_data,tumor_focality,tumor_focality,1.0
target,Cao_Clinical_data,tumor_largest_dimension_diameter,tumor_size_cm,0.695191940384309
target,Cao_Clinical_data,primary_diagnosis,pathologic_staging_primary_tumor_pt,0.5403997459563211
target,Cao_Proteins_phospho_glyco_IDs,morphology,Proteins,0.47958289215177896
target,Cao_Clinical_data,tissue_or_organ_of_origin,tumor_necrosis,0.4573667208638119
target,Cao_Clinical_data,tumor_code,tumor_size_cm,0.5788115532968325
target,Cao_Molecular_phenotype_data,study,KRAS_VAF,0.29951062596759814
target,Cao_Clinical_data,race,race,0.7209108058225134
target,Cao_Clinical_data,ethnicity,race,0.43006277548751926
target,Cao_Clinical_data,gender,sex,0.7661952434573879
target,Cao_Clinical_data,vital_status,vital_status,0.8793552805411567
target,Cao_Clinical_data,ajcc_pathologic_t,pathologic_staging_primary_tumor_pt,0.5967678794499744
target,Cao_circRNAforTumor,ajcc_pathologic_n,C3N-00198,0.5290117100864564
target,Cao_Clinical_data,ajcc_pathologic_stage,tumor_stage_pathological,0.7641036618687703
target,Cao_Clinical_data,tumor_grade,tumor_stage_pathological,0.6294587929830088
