TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Clark_RNA-seq_sequencing_depth,case_submitter_id,Case,0.7628809376399464
target,Clark_ccrcc_clinical_characteristics,age_at_diagnosis,Age,0.4843128120362412
target,Clark_ccrcc_clinical_characteristics,tumor_focality,Tumor_Focality,0.9822517490481615
target,Clark_ccrcc_clinical_characteristics,tumor_largest_dimension_diameter,Tumor_Size_cm,0.7126023103077237
target,Clark_ccrcc_clinical_characteristics,primary_diagnosis,Histologic_Type,0.556416713678183
target,Clark_WGS-WES_sequencing_depth,morphology,Case,0.42210488491772813
target,Clark_ccrcc_clinical_characteristics,tissue_or_organ_of_origin,Tumor_Site_Other,0.6120561160706294
target,Clark_ccrcc_clinical_characteristics,tumor_code,Tumor_Size_cm,0.5634564646614703
target,Clark_ccrcc_clinical_characteristics,study,Grade,0.32189386763382277
target,Clark_ccrcc_clinical_characteristics,race,Race,0.6787819559294916
target,Clark_ccrcc_clinical_characteristics,ethnicity,Ethnicity_Self_Identify,0.5787679843792601
target,Clark_ccrcc_clinical_characteristics,gender,Gender,0.777859273065402
target,Clark_ccrcc_clinical_characteristics,vital_status,Gender,0.3462938103185833
target,Clark_ccrcc_clinical_characteristics,ajcc_pathologic_t,Path_Stage_Primary_Tumor_pT,0.5712884586169886
target,Clark_ccrcc_clinical_characteristics,ajcc_pathologic_n,Path_Stage_Reg_Lymph_Nodes_pN,0.5156205730637421
target,Clark_ccrcc_clinical_characteristics,ajcc_pathologic_stage,Tumor_Stage_Pathological,0.7928967559694436
target,Clark_ccrcc_clinical_characteristics,tumor_grade,Grade,0.6631986605164606
