TargetColumn,Similarity,CandidateColumn
target_0,0.543135893936584,Dou_UCEC_CPTAC3_meta_table_V2.1_1
target_1,0.6018897293725614,Dou_UCEC_CPTAC3_meta_table_V2.1_24
target_10,0.9509125342900577,Dou_UCEC_CPTAC3_meta_table_V2.1_31
target_11,0.6864849787998649,Dou_UCEC_CPTAC3_meta_table_V2.1_32
target_12,0.662209469878013,Dou_UCEC_CPTAC3_meta_table_V2.1_13
target_13,0.42769770101418536,Dou_UCEC_CPTAC3_meta_table_V2.1_0
target_14,0.5413648226843569,Dou_UCEC_CPTAC3_meta_table_V2.1_29
target_15,0.6067813398391214,Dou_UCEC_CPTAC3_meta_table_V2.1_167
target_16,0.27593704678012454,Dou_UCEC_CPTAC3_meta_table_V2.1_11
target_2,0.6787819559294916,Dou_UCEC_CPTAC3_meta_table_V2.1_26
target_3,0.8154334311886113,Dou_UCEC_CPTAC3_meta_table_V2.1_27
target_4,0.8189925738566205,Dou_UCEC_CPTAC3_meta_table_V2.1_28
target_5,0.4112290819098623,Dou_UCEC_CPTAC3_meta_table_V2.1_15
target_6,0.5480052471083601,Dou_UCEC_CPTAC3_meta_table_V2.1_20
target_7,0.5204800509386427,Dou_UCEC_CPTAC3_meta_table_V2.1_17
target_8,0.7686729672849284,Dou_UCEC_CPTAC3_meta_table_V2.1_20
target_9,0.650670519697831,Dou_UCEC_CPTAC3_meta_table_V2.1_20
