TargetColumn,Similarity,CandidateColumn
target_0,0.7272752774630019,Gillette_Annotions_S1A_1
target_1,0.6033672155590416,Gillette_Annotions_S1A_10
target_10,0.4620765107457898,Gillette_Annotions_S1A_4
target_11,0.44699246158709816,Gillette_Annotions_S1A_30
target_12,0.5063726047958548,Gillette_Annotions_S1A_66
target_13,0.44007216419015893,Gillette_Annotions_S1A_0
target_14,0.4089061688157952,Gillette_Annotions_S1A_4
target_15,0.5302028675685247,Gillette_Annotions_S1A_4
target_16,0.2917436286138514,Gillette_Annotions_S1A_2
target_2,0.47042570120243343,Gillette_Annotions_S1A_12
target_3,0.5905246207028347,Gillette_Annotions_S1A_12
target_4,0.9263554891935056,Gillette_Annotions_S1A_11
target_5,0.38511029429116506,Gillette_Annotions_S1A_6
target_6,0.501334367119648,Gillette_Annotions_S1A_4
target_7,0.46755316196775987,Gillette_Annotions_S1A_1
target_8,0.6256977405678225,Gillette_Annotions_S1A_7
target_9,0.510915283743691,Gillette_Annotions_S1A_4
