TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Huang_Data_availabilty,case_submitter_id,case_id,0.9071623271340469
target,Huang_Meta_table,age_at_diagnosis,age,0.5175577739014937
target,Huang_Meta_table,tumor_focality,tumor_focality,1.0
target,Huang_Meta_table,tumor_largest_dimension_diameter,tumor_size_cm,0.7022201841630331
target,Huang_Meta_table,primary_diagnosis,histologic_type,0.5913628524493056
target,Huang_Meta_table,morphology,case_id,0.47406248798417394
target,Huang_Meta_table,tissue_or_organ_of_origin,tumor_site_original,0.4808398575464483
target,Huang_Meta_table,tumor_code,tumor_stage,0.5984529920493061
target,Huang_Meta_table,study,smoking_inferred,0.2918087497540408
target,Huang_Meta_table,race,P16,0.4211092575876898
target,Huang_Meta_table,ethnicity,P16,0.380663184960204
target,Huang_Meta_table,gender,gender,0.922205832083636
target,Huang_Meta_table,vital_status,P16,0.38606299192407234
target,Huang_Meta_table,ajcc_pathologic_t,patho_staging_pt,0.578453301539153
target,Huang_Meta_table,ajcc_pathologic_n,tumor_necrosis,0.5137243355230416
target,Huang_Meta_table,ajcc_pathologic_stage,tumor_stage,0.7525821741829902
target,Huang_Meta_table,tumor_grade,histologic_grade,0.711642184940514
