TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Satpathy_Table_S1A,case_submitter_id,Participant,0.7472872504442781
target,Satpathy_Table_S1A,age_at_diagnosis,Age,0.47917038047528626
target,Satpathy_Table_S1A,tumor_focality,Type,0.4807782620777784
target,Satpathy_Table_S1A,tumor_largest_dimension_diameter,Type,0.4750867780173198
target,Satpathy_Table_S1A,primary_diagnosis,Pathology.based.histology.assessment,0.5409841471549257
target,Satpathy_Table_S1A,morphology,Sample.ID,0.4334646823788886
target,Satpathy_Table_S1A,tissue_or_organ_of_origin,Type,0.46859880816044464
target,Satpathy_Table_S1A,tumor_code,Type,0.5677318466377673
target,Satpathy_Table_S1A,study,Smoking.Score.Category.wes,0.29070487151646995
target,Satpathy_Table_S1A,race,Ethnicity,0.461747093922553
target,Satpathy_Table_S1A,ethnicity,Ethnicity,0.548216972816381
target,Satpathy_Table_S1A,gender,Gender,0.8292639954616425
target,Satpathy_Table_S1A,vital_status,TP53.mutation.status,0.36620610385774666
target,Satpathy_Table_S1A,ajcc_pathologic_t,Type,0.5324944700139863
target,Satpathy_Table_S1A,ajcc_pathologic_n,NF1.mutation.status,0.5246831872998433
target,Satpathy_Table_S1A,ajcc_pathologic_stage,Stage,0.6896014330485495
target,Satpathy_Table_S1A,tumor_grade,Type,0.540177015171322
