TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Vasaikar_B-ClinicalData,case_submitter_id,SampleID,0.5671469483476691
target,Vasaikar_B-ClinicalData,age_at_diagnosis,Age,0.5498757125096353
target,Vasaikar_B-ClinicalData,tumor_focality,Tumor.Status,0.503715367375007
target,Vasaikar_B-ClinicalData,tumor_largest_dimension_diameter,TumorPurity,0.5246817377466451
target,Vasaikar_B-ClinicalData,primary_diagnosis,Mucinous,0.4667758975366828
target,Vasaikar_B-ClinicalData,morphology,Age,0.4468574323707566
target,Vasaikar_B-ClinicalData,tissue_or_organ_of_origin,PN,0.39431099853864493
target,Vasaikar_B-ClinicalData,tumor_code,Tumor.Status,0.5436080822084488
target,Vasaikar_B-ClinicalData,study,Clinical,0.29121251964262895
target,Vasaikar_B-ClinicalData,race,Gender,0.3643442896266873
target,Vasaikar_A-Annotation,ethnicity,Column name,0.29063981826326024
target,Vasaikar_B-ClinicalData,gender,Gender,0.7623149155388589
target,Vasaikar_B-ClinicalData,vital_status,Vital.Status,0.835210224937667
target,Vasaikar_B-ClinicalData,ajcc_pathologic_t,PT,0.695721333435556
target,Vasaikar_B-ClinicalData,ajcc_pathologic_n,PN,0.565835130412765
target,Vasaikar_B-ClinicalData,ajcc_pathologic_stage,Stage,0.8046963350343578
target,Vasaikar_B-ClinicalData,tumor_grade,Tumor.Status,0.5782270092992592
