original_paper_variable_names,GDC_format_variable_names,generated_column_type
case_id,case_submitter_id,case_submitter_id
age,age_at_diagnosis,age_at_diagnosis
sex,gender,gender
race,race,race
participant_country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
tumor_site,tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_focality,tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
lymph_vascular_invasion,vascular_invasion_present; lymphatic_invasion_present,lymphatic_invasion_present
perineural_invasion,perineural_invasion_present,perineural_invasion_present
number_of_lymph_nodes_positive_for_tumor,lymph_nodes_positive,lymph_nodes_positive
pathologic_staging_regional_lymph_nodes_pn,ajcc_pathologic_n,ajcc_pathologic_n
pathologic_staging_primary_tumor_pt,ajcc_pathologic_t,ajcc_pathologic_t
pathologic_staging_distant_metastasis_pm,ajcc_pathologic_m,ajcc_pathologic_m
clinical_staging_distant_metastasis_cm,ajcc_clinical_m,ajcc_clinical_m
residual_tumor,residual_disease,residual_disease
tumor_stage_pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
bmi,bmi,bmi
alcohol_consumption,alcohol_intensity,alcohol_intensity
tobacco_smoking_history,tobacco_smoking_status,tobacco_smoking_status
vital_status,vital_status,vital_status
cause_of_death,cause_of_death,cause_of_death
Case_ID,case_submitter_id,case_submitter_id
Tumor/Normal,tissue_type,tissue_type
Gender,gender,gender
Age,age_at_diagnosis,age_at_diagnosis
BMI,bmi,bmi
Race,race,race
Ethnicity_Self_Identify,ethnicity,ethnicity
Tumor_Site,tissue_or_organ_of_origin,tissue_or_organ_of_origin
Tumor_Size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
Tumor_Focality,tumor_focality,tumor_focality
Histologic_Type,primary_diagnosis,primary_diagnosis
Grade,tumor_grade,tumor_grade
Tumor_Stage_Pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
Path_Stage_Primary_Tumor_pT,ajcc_pathologic_t,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes_pN,ajcc_pathologic_n,ajcc_pathologic_n
Proteomics_Participant_ID,case_submitter_id,case_submitter_id
Country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
Histologic_Grade_FIGO,tumor_grade,tumor_grade
Histologic_type,primary_diagnosis,primary_diagnosis
Path_Stage_Primary_Tumor-pT,ajcc_pathologic_t,ajcc_pathologic_t
Path_Stage_Reg_Lymph_Nodes-pN,ajcc_pathologic_n,ajcc_pathologic_n
Clin_Stage_Dist_Mets-cM,ajcc_clinical_m,ajcc_clinical_m
Path_Stage_Dist_Mets-pM,ajcc_pathologic_m,ajcc_pathologic_m
tumor_Stage-Pathological,ajcc_pathologic_stage,ajcc_pathologic_stage
FIGO_stage,figo_stage,figo_stage
BMI,bmi,bmi
Age,age_at_diagnosis,age_at_diagnosis
Race,race,race
Ethnicity,ethnicity,ethnicity
Gender,gender,gender
Tumor_Site,tissue_or_organ_of_origin,tissue_or_organ_of_origin
Tumor_Focality,tumor_focality,tumor_focality
Tumor_Size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
SampleID,case_submitter_id,case_submitter_id
Age,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
PT,ajcc_pathologic_t,ajcc_pathologic_t
PN,ajcc_pathologic_n,ajcc_pathologic_n
Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
Vascular_Invasion,vascular_invasion_present,vascular_invasion_present
Lymphatic_Invasion,lymphatic_invasion_present,lymphatic_invasion_present
Perineural_Invasion,perineural_invasion_present,perineural_invasion_present
Synchronous_Tumors,synchronous_malignancy,synchronous_malignancy
Vital.Status,vital_status,vital_status
Tumor.Status,last_known_disease_status,vital_status
case_id,case_submitter_id,case_submitter_id
age,age_at_diagnosis,age_at_diagnosis
gender,gender,gender
height,height,height
weight,weight,weight
bmi,bmi,bmi
country_of_origin,country_of_residence_at_enrollment,None
race,race,race
ethnicity,ethnicity,ethnicity
smoking_history,tobacco_smoking_status,tobacco_smoking_status
secondhand_smoke_exposure,secondhand_smoke_as_child,secondhand_smoke_as_child
tumor_laterality,biospecimen_laterality,biospecimen_laterality
tumor_site_curated,tissue_or_organ_of_origin,tissue_or_organ_of_origin
vital_status,vital_status,vital_status
path_diag_to_last_contact_days,days_to_last_follow_up,days_to_last_follow_up
path_diag_to_death_days,days_to_death,None
cause_of_death,cause_of_death,cause_of_death
tumor_reoccur_after_treatment,progression_or_recurrence,progression_or_recurrence
path_diag_to_tumor_reoccur_days,days_to_recurrence,days_to_recurrence
Tumor.Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
Age.in.Month,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
Ethnicity,ethnicity,ethnicity
case_id,case_submitter_id,case_submitter_id
age,age_at_diagnosis,age_at_diagnosis
gender,gender,gender
country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
smoking_history,tobacco_smoking_status,tobacco_smoking_status
smoke_age_start,tobacco_smoking_onset_year,tobacco_smoking_onset_year
smoke_age_stop,tobacco_smoking_quit_year,tobacco_smoking_quit_year
num_smoke_per_day,pack_years_smoked,cigarettes_per_day
smoking_second_hand,secondhand_smoke_as_child,secondhand_smoke_as_child
alcohol_consum,alcohol_intensity,alcohol_intensity
tumor_site_original,tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_focality,tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
histologic_type,primary_diagnosis,primary_diagnosis
histologic_grade,tumor_grade,tumor_grade
patho_staging_pt,ajcc_pathologic_t,ajcc_pathologic_t
patho_staging_pn,ajcc_pathologic_n,ajcc_pathologic_n
clinic_staging_dist_metas,ajcc_clinical_m,ajcc_clinical_m
tumor_stage,ajcc_pathologic_stage,ajcc_pathologic_stage
Participant,case_submitter_id,case_submitter_id
Type,tissue_type,tissue_type
Age,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
Ethnicity,ethnicity,race
Height.cm,height,height
Weight.kg,weight,weight
BMI,bmi,bmi
Cigarettes.per.Day,cigarettes_per_day,cigarettes_per_day
Pack.Years.Smoked,pack_years_smoked,pack_years_smoked
Smoking.History,tobacco_smoking_status,tobacco_smoking_status
Secondhand.Smoke,secondhand_smoke_as_child,secondhand_smoke_as_child
Dominant.Histological.Subtype,primary_diagnosis,None
Participant,case_submitter_id,case_submitter_id
Type,tissue_type,tissue_type
Smoking.History,tobacco_smoking_status,tobacco_smoking_status
Stage,ajcc_pathologic_stage,ajcc_pathologic_stage
Country.of.Origin,country_of_residence_at_enrollment,country_of_residence_at_enrollment
Age,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
Ethnicity,ethnicity,ethnicity
Cigarettes.per.Day,cigarettes_per_day,cigarettes_per_day
Pack.Years.Smoked,pack_years_smoked,pack_years_smoked
Secondhand.Smoke,secondhand_smoke_as_child,secondhand_smoke_as_child
