original_paper_variable_names,GDC_format_variable_names,generated_column_type
Participant,case_submitter_id,case_submitter_id
Type,tissue_type,tissue_type
Age,age_at_diagnosis,age_at_diagnosis
Gender,gender,gender
Ethnicity,ethnicity,race
Height.cm,height,height
Weight.kg,weight,weight
BMI,bmi,bmi
Cigarettes.per.Day,cigarettes_per_day,cigarettes_per_day
Pack.Years.Smoked,pack_years_smoked,pack_years_smoked
Smoking.History,tobacco_smoking_status,tobacco_smoking_status
Secondhand.Smoke,secondhand_smoke_as_child,secondhand_smoke_as_child
Dominant.Histological.Subtype,primary_diagnosis,None
