original_paper_variable_names,GDC_format_variable_names,generated_column_type
case_id,case_submitter_id,case_submitter_id
age,age_at_diagnosis,age_at_diagnosis
gender,gender,gender
country,country_of_residence_at_enrollment,country_of_residence_at_enrollment
smoking_history,tobacco_smoking_status,tobacco_smoking_status
smoke_age_start,tobacco_smoking_onset_year,tobacco_smoking_onset_year
smoke_age_stop,tobacco_smoking_quit_year,tobacco_smoking_quit_year
num_smoke_per_day,pack_years_smoked,cigarettes_per_day
smoking_second_hand,secondhand_smoke_as_child,secondhand_smoke_as_child
alcohol_consum,alcohol_intensity,alcohol_intensity
tumor_site_original,tissue_or_organ_of_origin,tissue_or_organ_of_origin
tumor_focality,tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter,tumor_largest_dimension_diameter
histologic_type,primary_diagnosis,primary_diagnosis
histologic_grade,tumor_grade,tumor_grade
patho_staging_pt,ajcc_pathologic_t,ajcc_pathologic_t
patho_staging_pn,ajcc_pathologic_n,ajcc_pathologic_n
clinic_staging_dist_metas,ajcc_clinical_m,ajcc_clinical_m
tumor_stage,ajcc_pathologic_stage,ajcc_pathologic_stage
