column_name,generated_column_type
Sample.ID,Case_ID
Participant,Case_ID
Experiment,None
Channel,None
Type,tissue_type
Aliquot,None
Smoking.Status,tobacco_smoking_status
Stage,ajcc_pathologic_stage
Region.of.Origin,race
Country.of.Origin,country_of_residence_at_enrollment
Age,age_at_diagnosis
Gender,gender
Ethnicity,race
Height.cm,height
Weight.kg,weight
BMI,bmi
Cigarettes.per.Day,cigarettes_per_day
Pack.Years.Smoked,pack_years_smoked
Smoking.History,tobacco_smoking_status
Secondhand.Smoke,secondhand_smoke_as_child
Smoking.Score.WGS,None
Smoking.Signature.Fraction.WGS,None
Dominant.Signature.WGS.notSmoking.50perc,None
Dominant.Signature.Fraction.WGS.notSmoking,None
DNP.GG.to.TT.or.CC.to.AA.Count.WGS,None
NMF.consensus,None
NMF.cluster.membership,None
mRNA.Expression.Subtype.TCGA,None
mRNA.stemness.index,None
CIMP.status,None
Tumor.Purity.byESTIMATE.RNAseq,None
TSNet Purity,None
ESTIMATEScore,None
ESTIMATE ImmuneScore,None
ESTIMATE StromalScore,None
QC.status,None
TP53.mutation,None
KRAS.mutation,None
STK11.mutation,None
EGFR.mutation,None
KEAP1.mutation,None
RB1.mutation,None
BRAF.mutation,None
ARAF.mutation,None
ERBB2.mutation,None
TP53.mutation.status,None
KRAS.mutation.status,None
STK11.mutation.status,None
EGFR.mutation.status,None
KEAP1.mutation.status,None
RB1.mutation.status,None
BRAF.mutation.status,None
ARAF.mutation.status,None
ERBB2.mutation.status,None
Total.Mutation.Count.WGS,None
Mutation.Count.ExcludingINDELs.WGS,None
Total.DNP.Count.WGS,None
Number.somatic.mutations,None
Mutation.Signature.Activity.W1.COSMIC5,None
Mutation.Signature.Activity.W2.COSMIC4,None
Mutation.Signature.Activity.W3.COSMIC2,None
ALK.fusion,None
ROS1.fusion,None
RET.fusion,None
Putative.driver.mutation,None
Methylation.QC,None
Dominant.Histological.Subtype,None
