column_name,generated_column_type
case_id,Case_ID
age,age_at_diagnosis
gender,gender
country,country_of_residence_at_enrollment
smoking_history,tobacco_smoking_status
smoke_age_start,tobacco_smoking_onset_year
smoke_age_stop,tobacco_smoking_quit_year
num_smoke_per_day,cigarettes_per_day
num_pack_years_sm,pack_years_smoked
smoking_second_hand,secondhand_smoke_as_child
smoking_inferred,None
alcohol_consum,alcohol_intensity
num_yrs_alc_con,alcohol_intensity
tumor_site_original,tissue_or_organ_of_origin
tumor_site_curated,tissue_or_organ_of_origin
tumor_focality,tumor_focality
tumor_size_cm,tumor_largest_dimension_diameter
histologic_type,primary_diagnosis
histologic_grade,tumor_grade
tumor_necrosis,None
patho_staging_pt,ajcc_pathologic_t
patho_staging_pn,ajcc_pathologic_n
clinic_staging_dist_metas,ajcc_clinical_m
tumor_stage,ajcc_pathologic_stage
P16,None
HPV_inference,None
NAT_pathology_review,None
tumor_pathology_review,None
ESTIMATE_stromal_score,None
ESTIMATE_immune_score,None
CD3_IHC_count,None
stemness_score,None
mutation_count,None
neoAntigen_count,None
chr_instability_idx,None
integrated_subtype,None
transcriptomic_subtype,None
case_id,Case_ID
WES,None
WES_BN,None
WGS,None
WGS_BN,None
RNA-Seq,None
RNA-Seq_AN,None
MiRNA,None
MiRNA_AN,None
Methy,None
Methy_AN,None
Global_TMT,None
Global_TMT_AN,None
PhosphoTMT,None
PhosphoTMT_AN,None
Unnamed: 15,None
1: available; 0: unavailable,tissue_type
TMT set#,None
channel #,None
peptide amount for labeling (ug),None
case_id,Case_ID
type,tissue_type
combined_id,Case_ID
