column_name,generated_column_type
Sample.ID,Case_ID
Sample.IDs,Case_ID
TMT.Plex,None
TMT.Channel,tissue_type
Tumor.Stage,ajcc_pathologic_stage
Ischemia.Time.in.Minutes,None
PAM50,None
NMF.Cluster,None
NMF.Cluster.Membership.Score,None
Age.in.Month,age_at_diagnosis
Gender,gender
Ethnicity,ethnicity
ER.Updated.Clinical.Status,last_known_disease_status
PR.Clinical.Status,last_known_disease_status
ERBB2.Updated.Clinical.Status,None
TNBC.Updated.Clinical.Status,vital_status
ERBB2.Proteogenomic.Status,None
TOP2A.Proteogenomic.Status,None
ERBB2.Gene.Amplified,None
TOP2A.Gene.Amplified,None
ESTIMATE.TumorPurity,None
CIBERSORT.Absolute.Score,None
ESTIMATE.Immune.Score,None
xCell.Immune.Score,None
ESTIMATE.Stromal.Score,None
xCell.Stromal.Score,None
CD3.TILS.Status,None
CD3.TILS.Counts,None
Number.of.non.synonymous.Mutations,None
APOBEC.Signature,None
Chromosome.INstability.index.CIN.,None
Stemness.Score,None
TP53.Mutation.Type,None
PIK3CA.Mutation.Type,None
PTEN.Mutation.Type,None
MAP3K1.Mutation.Type,None
AKT1.Mutation.Type,None
GATA3.Mutation.Type,None
CBFB.Mutation.Type,None
KMT2C.Mutation.Type,None
SF3B1.Mutation.Type,None
ARID1A.Mutation.Type,None
MLLT4.Mutation.Type,None
TP53.Mutation.Status,None
PIK3CA.Mutation.Status,None
PTEN.Mutation.Status,None
MAP3K1.Mutation.Status,None
AKT1.Mutation.Status,None
GATA3.Mutation.Status,None
CBFB.Mutation.Status,None
KMT2C.Mutation.Status,None
SF3B1.Mutation.Status,None
ARID1A.Mutation.Status,None
MLLT4.Mutation.Status,None
Sample.ID,Case_ID
ACGT tag ID,Case_ID
Total reads,None
QC,None
mapping rates(%),None
No. of transcripts,None
Notes,None
Hugo_Symbol,None
Chromosome,None
Start_Position,Case_ID
End_position,None
Variant_Classification,None
Variant_Type,None
Tumor_Sample_Barcode,Case_ID
Matched_Norm_Sample_Barcode,None
n_ref_count,None
t_ref_count,None
t_alt_count,None
n_alt_count,None
t_depth,None
n_depth,None
Passed_Filters,None
Type,tissue_type
Sample_id,Case_ID
participant,Case_ID
TOTAL_READS,None
PF_READS,None
READ_LENGTH,None
TOTAL_BASES,None
PF_BASES,None
Q20_BASES,None
PF_Q20_BASES,None
Q30_BASES,None
PF_Q30_BASES,None
Q20_EQUIVALENT_YIELD,None
PF_Q20_EQUIVALENT_YIELD,None
