rna_integrity_number,data_format,measurement_type,intended_release_date,workflow_version,ajcc_pathologic_n,state,percent_necrosis,discontiguous_lesion_count,primary_gleason_grade,sequence_length_distribution
10.0,ADF,Echographic,2023-07-15,1.0.0,N0 (mol-),invalid,0.5,0,Pattern 1,FAIL
9.5,BCR Biotab,Pathologic,2023-09-01,1.2.1,N1a,legacy,2.3,1,Pattern 2,Not Reported
8.7,BEDPE,Radiologic,2023-11-20,2.0.0,N1b,md5summing,10.0,2,Pattern 3,PASS
7.3,CEL,Pathologic,2024-01-05,2.5.3,N1bII,processed,15.75,3,Pattern 4,Unknown
6.5,CSV,Echographic,2024-03-10,3.0.0,N1bIII,released,22.5,4,Pattern 5,WARN
5.8,JPEG 2000,Echographic,2024-05-30,3.1.4,N1bIV,review,30.0,5,Pattern 4,Not Reported
4.9,JSON,Radiologic,2024-08-15,4.0.0,N1c,submitted,37.2,6,Pattern 1,Not Reported
4.2,SRA XML,Radiologic,2024-10-22,4.2.0,N2b,uploaded,45.0,7,Pattern 2,Not Reported
3.6,TARGZ,Pathologic,2025-02-12,5.0.0,N3a,uploading,50.5,8,Pattern 4,WARN
2.8,TIFF,Echographic,2025-04-07,5.3.2,N4,validated,60.0,9,Pattern 4,Not Reported
2.1,TARGZ,Radiologic,2025-06-29,6.0.0,N4,validated,68.3,10,Pattern 1,FAIL
1.5,TIFF,Echographic,2025-09-03,6.1.1,N3a,released,75.0,11,Pattern 4,FAIL
1.0,BEDPE,Radiologic,2025-11-17,7.0.0,N1c,processed,82.5,12,Pattern 3,Not Reported
0.5,ADF,Radiologic,2026-01-20,7.4.5,N1c,processed,90.0,13,Pattern 4,FAIL
0.2,BEDPE,Pathologic,2026-03-15,8.0.0,N1bII,validated,97.8,14,Pattern 4,FAIL
