TargetColumn,Similarity,CandidateColumn
target_0,0.7366096776854227,Cao_Proteins_phospho_glyco_IDs_0
target_1,0.5528438901966446,Cao_Clinical_data_4
target_10,1.0,Cao_Clinical_data_9
target_11,0.7109463893499526,Cao_Clinical_data_10
target_12,0.504476685566511,Cao_Clinical_data_3
target_13,0.516516842692989,Cao_Clinical_data_3
target_14,0.47522772800037316,Cao_Clinical_data_8
target_15,0.7108715357261514,Cao_Clinical_data_8
target_16,0.4155985517407491,Cao_Clinical_data_2
target_2,1.0,Cao_Clinical_data_6
target_3,0.535208938024419,Cao_Clinical_data_6
target_4,0.5567516361362778,Cao_Clinical_data_5
target_5,1.0,Cao_Clinical_data_36
target_6,0.5481841177849421,Cao_Clinical_data_22
target_7,0.5671621033183721,Cao_Clinical_data_22
target_8,0.5970548658219651,Cao_Clinical_data_21
target_9,0.6818813698376109,Cao_Clinical_data_8
