TargetColumn,Similarity,CandidateColumn
target_0,0.3945295200459057,Gillette_Annotions_S1A_1
target_1,0.5528751958985223,Gillette_Annotions_S1A_10
target_10,0.4856313015299496,Gillette_Annotions_S1A_30
target_11,0.4456657430772041,Gillette_Annotions_S1A_30
target_12,0.3448691931505573,Gillette_Annotions_S1A_41
target_13,0.47364502923157614,Gillette_Annotions_S1A_66
target_14,0.517135838033724,Gillette_Annotions_S1A_8
target_15,0.5020767493267163,Gillette_Annotions_S1A_30
target_16,0.504569626622017,Gillette_Annotions_S1A_7
target_2,0.535208938024419,Gillette_Annotions_S1A_12
target_3,1.0,Gillette_Annotions_S1A_12
target_4,1.0,Gillette_Annotions_S1A_11
target_5,0.4423267592478317,Gillette_Annotions_S1A_29
target_6,0.3133961943100153,Gillette_Annotions_S1A_35
target_7,0.31258583898728065,Gillette_Annotions_S1A_57
target_8,0.4527666461790846,Gillette_Annotions_S1A_7
target_9,0.5244690778952042,Gillette_Annotions_S1A_30
