TargetColumn,Similarity,CandidateColumn
target_0,0.7365879319811768,Huang_Meta_table_0
target_1,0.5528751958985223,Huang_Meta_table_1
target_10,1.0,Huang_Meta_table_15
target_11,0.7109463893499526,Huang_Meta_table_16
target_12,0.43151002353781454,Huang_Meta_table_20
target_13,0.49629529671721717,Huang_Meta_table_17
target_14,0.5129051794866809,Huang_Meta_table_13
target_15,0.7083512535394041,Huang_Meta_table_23
target_16,0.35774737019084446,Huang_TMT-set_4
target_2,0.5347697312452262,Huang_Meta_table_2
target_3,0.38554506474936634,Huang_Meta_table_2
target_4,0.9999993014051907,Huang_Meta_table_2
target_5,0.4195015188869341,Huang_Meta_table_31
target_6,0.47948323250786706,Huang_Meta_table_26
target_7,0.5078884235827827,Huang_Meta_table_26
target_8,0.6101607598370778,Huang_Meta_table_20
target_9,0.7502103182527255,Huang_Meta_table_23
