TargetColumn,Similarity,CandidateColumn
target_0,0.6076592107730782,Clark_ccrcc_clinical_characteristics_0
target_1,0.3724187004909578,Clark_ccrcc_clinical_characteristics_3
target_10,0.7857893812732328,Clark_ccrcc_clinical_characteristics_10
target_11,0.6590293716632541,Clark_ccrcc_clinical_characteristics_9
target_12,0.4344961059914464,Clark_ccrcc_clinical_characteristics_14
target_13,0.29249499137647195,Clark_ccrcc_clinical_characteristics_13
target_14,0.5264995613458753,Clark_RNA-seq_sequencing_depth_1
target_15,0.5857266530231827,Clark_ccrcc_clinical_characteristics_9
target_16,0.27183772278958784,Clark_RNA-seq_sequencing_depth_0
target_2,0.5831952796724339,Clark_ccrcc_clinical_characteristics_5
target_3,0.5495544126692362,Clark_ccrcc_clinical_characteristics_6
target_4,0.5698481523714627,Clark_ccrcc_clinical_characteristics_2
target_5,0.3173798965888637,Clark_ccrcc_clinical_characteristics_4
target_6,0.38166504614248065,Clark_ccrcc_clinical_characteristics_13
target_7,0.39508007531600087,Clark_ccrcc_clinical_characteristics_0
target_8,0.5432867270059573,Clark_ccrcc_clinical_characteristics_13
target_9,0.6013187657897574,Clark_ccrcc_clinical_characteristics_9
