TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Huang_Meta_table,case_submitter_id,case_id,0.6179873322759312
target,Huang_Meta_table,age_at_diagnosis,tumor_stage,0.36381464480868975
target,Huang_Meta_table,tumor_focality,tumor_focality,0.7909553033593035
target,Huang_Meta_table,tumor_largest_dimension_diameter,tumor_size_cm,0.6621920898993447
target,Huang_Meta_table,primary_diagnosis,patho_staging_pn,0.39693372504504487
target,Huang_Meta_table,morphology,histologic_grade,0.38874370270910963
target,Huang_Meta_table,tissue_or_organ_of_origin,tumor_site_original,0.4546043716122703
target,Huang_Meta_table,tumor_code,tumor_size_cm,0.579162649893025
target,Huang_Meta_table,study,patho_staging_pt,0.28903843404644736
target,Huang_Meta_table,race,gender,0.3348413008104437
target,Huang_Meta_table,ethnicity,country,0.24269714093159145
target,Huang_Meta_table,gender,gender,0.5712871582006795
target,Huang_Meta_table,vital_status,stemness_score,0.35419108185601267
target,Huang_Meta_table,ajcc_pathologic_t,tumor_pathology_review,0.4236114189929723
target,Huang_Meta_table,ajcc_pathologic_n,NAT_pathology_review,0.4424337496288927
target,Huang_Meta_table,ajcc_pathologic_stage,patho_staging_pt,0.5637872822716032
target,Huang_Meta_table,tumor_grade,tumor_size_cm,0.6123854065007135
