TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Krug_B)_QC_RNA-seq,case_submitter_id,Sample.ID,0.42258156374908995
target,Krug_A)_Metadata,age_at_diagnosis,ER.Updated.Clinical.Status,0.3901448802612253
target,Krug_A)_Metadata,tumor_focality,Tumor.Stage,0.5124221379764052
target,Krug_A)_Metadata,tumor_largest_dimension_diameter,Tumor.Stage,0.4637286754964889
target,Krug_A)_Metadata,primary_diagnosis,PR.Clinical.Status,0.3823894603754008
target,Krug_C)_QC_WXS,morphology,Type,0.3201521380739766
target,Krug_C)_QC_WXS,tissue_or_organ_of_origin,Type,0.39051850938014643
target,Krug_D)_QC_mutation_calls,tumor_code,Tumor_Sample_Barcode,0.6217936400097912
target,Krug_B)_QC_RNA-seq,study,QC,0.2934065927072884
target,Krug_A)_Metadata,race,Ethnicity,0.39375982050782565
target,Krug_A)_Metadata,ethnicity,Ethnicity,0.6502032123436463
target,Krug_A)_Metadata,gender,Gender,0.5747133492331281
target,Krug_A)_Metadata,vital_status,ER.Updated.Clinical.Status,0.43587478812134783
target,Krug_A)_Metadata,ajcc_pathologic_t,CD3.TILS.Status,0.3645282375336414
target,Krug_A)_Metadata,ajcc_pathologic_n,PR.Clinical.Status,0.361697304048062
target,Krug_A)_Metadata,ajcc_pathologic_stage,Tumor.Stage,0.46655404253649224
target,Krug_A)_Metadata,tumor_grade,Tumor.Stage,0.5807074884170075
