TargetColumn,Similarity,CandidateColumn
target_0,0.39999346781202305,Vasaikar_B-ClinicalData_0
target_1,0.34079105290737244,Vasaikar_B-ClinicalData_17
target_10,0.5593173262167835,Vasaikar_B-ClinicalData_26
target_11,0.45800713485595645,Vasaikar_B-ClinicalData_44
target_12,0.35015132350978007,Vasaikar_B-ClinicalData_17
target_13,0.3051508529799969,Vasaikar_A-Annotation_0
target_14,0.383337080002603,Vasaikar_A-Annotation_0
target_15,0.582787742515602,Vasaikar_B-ClinicalData_26
target_16,0.2771064282596134,Vasaikar_B-ClinicalData_25
target_2,0.3226583996611303,Vasaikar_B-ClinicalData_12
target_3,0.21687231551499453,Vasaikar_B-ClinicalData_2
target_4,0.5944471505227849,Vasaikar_B-ClinicalData_12
target_5,0.7109299017892677,Vasaikar_B-ClinicalData_25
target_6,0.3560434216130297,Vasaikar_B-ClinicalData_15
target_7,0.3707700322650196,Vasaikar_B-ClinicalData_1
target_8,0.5120187358640624,Vasaikar_B-ClinicalData_17
target_9,0.6017425067076682,Vasaikar_B-ClinicalData_26
