TargetColumn,Similarity,CandidateColumn
target_0,0.6232324379728881,Wang_clinical_data_0
target_1,0.426438347699718,Wang_clinical_data_22
target_10,0.5961253360549912,Wang_clinical_data_12
target_11,0.5953434202412562,Wang_clinical_data_12
target_12,0.35949592725285595,Wang_clinical_data_19
target_13,0.2804892837506886,Wang_clinical_data_12
target_14,0.42405268971378196,Wang_additional_annotations_1
target_15,0.5721604785432078,Wang_clinical_data_21
target_16,0.2794782892462293,Wang_additional_annotations_21
target_2,0.5831952796724339,Wang_clinical_data_7
target_3,0.5977669928852088,Wang_clinical_data_9
target_4,0.5423882213532353,Wang_clinical_data_2
target_5,0.6533535135507477,Wang_clinical_data_16
target_6,0.36215096528678137,Wang_clinical_data_0
target_7,0.3992109946319544,Wang_clinical_data_0
target_8,0.3659900881404228,Wang_clinical_data_0
target_9,0.5795979792850647,Wang_clinical_data_21
