TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Krug_B)_QC_RNA-seq,case_submitter_id,Sample.ID,0.42749435032510896
target,Krug_A)_Metadata,age_at_diagnosis,Tumor.Stage,0.3957196909439963
target,Krug_A)_Metadata,tumor_focality,Tumor.Stage,0.5423347063162226
target,Krug_A)_Metadata,tumor_largest_dimension_diameter,Tumor.Stage,0.4999360588001094
target,Krug_A)_Metadata,primary_diagnosis,PR.Clinical.Status,0.38836457897393717
target,Krug_C)_QC_WXS,morphology,Type,0.384044390074719
target,Krug_A)_Metadata,tissue_or_organ_of_origin,Tumor.Stage,0.3664150394524849
target,Krug_D)_QC_mutation_calls,tumor_code,Tumor_Sample_Barcode,0.6740120802498738
target,Krug_C)_QC_WXS,study,participant,0.39050640435556105
target,Krug_A)_Metadata,race,Gender,0.5227027145131871
target,Krug_A)_Metadata,ethnicity,Ethnicity,0.8865531139559087
target,Krug_A)_Metadata,gender,Gender,0.9392409643359091
target,Krug_A)_Metadata,vital_status,PR.Clinical.Status,0.4870223480221465
target,Krug_A)_Metadata,ajcc_pathologic_t,PR.Clinical.Status,0.3567738683758217
target,Krug_A)_Metadata,ajcc_pathologic_n,PR.Clinical.Status,0.35749386547353856
target,Krug_A)_Metadata,ajcc_pathologic_stage,Tumor.Stage,0.49812113947034553
target,Krug_A)_Metadata,tumor_grade,Tumor.Stage,0.6733700912576641
