TargetTable,CandidateTable,TargetColumn,CandidateColumn,Similarity
target,Gillette_Annotions_S1A,case_submitter_id,Participant,0.7272752774630019
target,Gillette_Annotions_S1A,age_at_diagnosis,Age,0.6033672155590416
target,Gillette_Annotions_S1A,tumor_focality,Type,0.4620765107457898
target,Gillette_Annotions_S1A,tumor_largest_dimension_diameter,Tumor.Purity.byESTIMATE.RNAseq,0.44699246158709816
target,Gillette_Annotions_S1A,primary_diagnosis,Dominant.Histological.Subtype,0.5063726047958548
target,Gillette_Annotions_S1A,morphology,Sample.ID,0.44007216419015893
target,Gillette_Annotions_S1A,tissue_or_organ_of_origin,Type,0.4089061688157952
target,Gillette_Annotions_S1A,tumor_code,Type,0.5302028675685247
target,Gillette_Annotions_S1A,study,Experiment,0.2917436286138514
target,Gillette_Annotions_S1A,race,Ethnicity,0.47042570120243343
target,Gillette_Annotions_S1A,ethnicity,Ethnicity,0.5905246207028347
target,Gillette_Annotions_S1A,gender,Gender,0.9263554891935056
target,Gillette_Annotions_S1A,vital_status,Smoking.Status,0.38511029429116506
target,Gillette_Annotions_S1A,ajcc_pathologic_t,Type,0.501334367119648
target,Gillette_Annotions_S1A,ajcc_pathologic_n,Participant,0.46755316196775987
target,Gillette_Annotions_S1A,ajcc_pathologic_stage,Stage,0.6256977405678225
target,Gillette_Annotions_S1A,tumor_grade,Type,0.510915283743691
