TargetColumn,Similarity,CandidateColumn
target_0,0.7472872504442781,Satpathy_Table_S1A_1
target_1,0.47917038047528626,Satpathy_Table_S1A_10
target_10,0.4807782620777784,Satpathy_Table_S1A_4
target_11,0.4750867780173198,Satpathy_Table_S1A_4
target_12,0.5409841471549257,Satpathy_Table_S1A_14
target_13,0.4334646823788886,Satpathy_Table_S1A_0
target_14,0.46859880816044464,Satpathy_Table_S1A_4
target_15,0.5677318466377673,Satpathy_Table_S1A_4
target_16,0.29070487151646995,Satpathy_Table_S1A_69
target_2,0.461747093922553,Satpathy_Table_S1A_12
target_3,0.548216972816381,Satpathy_Table_S1A_12
target_4,0.8292639954616425,Satpathy_Table_S1A_11
target_5,0.36620610385774666,Satpathy_Table_S1A_33
target_6,0.5324944700139863,Satpathy_Table_S1A_4
target_7,0.5246831872998433,Satpathy_Table_S1A_43
target_8,0.6896014330485495,Satpathy_Table_S1A_7
target_9,0.540177015171322,Satpathy_Table_S1A_4
