Unnamed: 0,C3L-03394,C3N-03428,C3L-02112,C3N-01719,C3N-03670,C3N-02998,C3N-03211,C3L-01052,C3N-00512,C3N-02295,C3N-01012,C3N-01502,C3L-01053,C3L-03632,C3L-00401,C3L-01054,C3N-00517,C3N-03440,C3L-04495,C3N-04284,C3N-00957,C3L-03395,C3N-00303,C3N-00513,C3N-01166,C3N-01382,C3N-01011,C3L-04473,C3N-01997,C3L-00640,C3L-00189,C3N-01998,C3L-01036,C3N-03069,C3L-00881,C3N-01715,C3N-03426,C3N-00198,C3N-01380,C3N-01388,C3L-03388,C3N-02589,C3L-03356,C3N-02944,C3N-00436,C3L-00928,C3L-01124,C3N-02592,C3N-01383,C3N-03439,C3N-03006,C3N-01165,C3N-03173,C3L-04475,C3L-04853,C3L-02115,C3L-02701,C3L-00102,C3N-01375,C3N-03884,C3N-01168,C3L-00622,C3N-01381,C3L-01703,C3L-02118,C3L-03628,C3N-03780,C3L-01637,C3N-04119,C3L-02899,C3N-02971,C3N-02573,C3L-00819,C3N-01714,C3L-02890,C3L-02116,C3L-01453,C3L-03635,C3N-00518,C3N-03840,C3L-02606,C3N-03061,C3L-04848,C3N-00514,C3L-02897,C3L-01687,C3N-02940,C3L-04080,C3N-03853,C3N-04283,C3L-02109,C3L-03630,C3L-01662,C3N-00709,C3N-03007,C3N-03665,C3L-01598,C3L-00599,C3L-01051,C3N-01716,C3N-03839,C3L-04479,C3L-00625,C3N-03754,C3L-01037,C3N-03666,C3N-04126,C3L-00017,C3L-01689,C3L-04027,C3N-02585,C3N-03039,C3N-03086,C3L-02463,C3N-00249,C3L-00589,C3N-00302,C3L-03743,C3N-00511,C3N-03190,C3N-00516,C3L-02610,C3N-02579,C3N-03000,C3L-00598,C3N-03430,C3L-02809,C3N-02768,C3L-03123,C3N-02010,C3L-01031,C3N-01167,C3L-01971,C3L-02604,C3L-00277,C3L-01328,C3L-03639,C3N-04282,C3L-04072,C3L-02613
circ_chr10_100260218_100262063_CWF19L1,0.0,4.33270793364061,0.0,0.0,0.0,0.0,0.0,0.0,3.0686708106651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27127625917593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98550043030489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_100923975_100926019_SLF2,0.0,8.21989452653681,8.21470767319764,7.45302364652906,7.92724462920703,7.84843515878937,0.0,8.33449676839042,7.76772099968469,7.9534398606738,8.71606491369722,7.13093086982645,7.75321674917896,7.85903775522804,8.22621949944792,8.22236021796273,7.75508786256111,8.25129303707078,7.59365255839793,8.08518030543348,0.0,7.99339131942347,8.40002551791402,8.10784476642071,7.66412724275846,7.27844945822048,8.39793127936277,8.0060174476454,8.00674683244059,0.0,7.59730769114098,7.65406313264398,0.0,0.0,0.0,8.08454267364192,0.0,8.23405098289216,7.51932173462943,7.74294936899383,7.67884658211984,8.59604063267114,0.0,7.8900818382946,8.01730952320543,7.08799314636232,8.08836424399187,7.93740324763381,7.41531924814038,7.83276345641731,8.10187064837942,0.0,8.02585934566924,7.96728390783566,7.48050748997454,8.47248777146274,0.0,0.0,0.0,0.0,7.30314143785827,7.91522210095782,0.0,0.0,7.72662689341017,7.48437984939624,7.16711703022744,7.15886210620846,7.99271179118975,8.29195343397636,8.04657836662033,0.0,7.80587282236988,8.26044914075333,8.47435491776846,7.60518317028866,0.0,8.00365845032321,0.0,7.86659893736892,0.0,7.98447542490412,7.47751543618424,8.30729189987457,8.04837788441452,7.54148386405428,8.18403228509439,0.0,0.0,8.03397354344106,0.0,7.91025296279928,7.70141043623281,0.0,7.72587745912023,0.0,7.52575569282949,7.43045255166553,7.78738022229634,7.55979769575487,7.91480367725178,7.47808197655707,0.0,0.0,7.58668969484466,7.51428009563292,7.89360490485829,8.46964181723952,0.0,7.89093302170554,8.16616308264611,0.0,0.0,0.0,0.0,7.25143506956323,7.40019634202658,7.93055994611964,7.7689121065653,7.98082505201421,7.52222841515815,7.95634711427911,8.27024859875042,8.41189226671073,7.95669559134382,0.0,0.0,7.64407257780216,0.0,0.0,7.76930892376067,7.70238050161553,7.83636600871667,0.0,8.47163457452272,7.44153327719893,7.1050704023587,7.84649331596456,0.0,7.44335800383632
circ_chr10_100937402_100950753_SLF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99661471481536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30305008468167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_101667886_101676436_FBXW4,7.11134436328308,7.94175190400278,7.37903173202854,6.71506967937999,7.12412131182919,7.48518528434396,7.00753191158199,8.11108349225532,7.6977321257776,7.71204544855369,7.95640519963557,6.36176835941915,7.50953750411389,7.15674042118313,6.29957437060887,7.6055535954944,7.20231976231248,7.36282052553426,6.30432850305588,7.06684264034144,7.13278245729886,7.62942948162559,7.87282875953489,7.0244748279521,7.44749654666539,7.1490357564581,7.57213175138666,7.39317591434881,7.47500379394329,6.13504228623365,6.84799690655495,7.05311133645956,6.89675621847481,0.0,0.0,7.52199295640167,0.0,7.57516103342539,8.76987089468363,7.09992635055603,6.08640164588003,7.30514974563003,7.29268973768147,7.17751920259781,6.94708166744681,6.98993372431032,6.72068888533212,7.09085343045111,7.26011977443628,7.31560245663795,7.00056344271011,6.91778975904161,7.68208164108877,7.64335115812472,7.13729858092114,7.30140473756448,6.790772037862,6.8760257327227,6.65391987311942,0.0,7.34536088953964,7.4023299385598,7.14088088395226,7.52950864107431,7.80535695232786,7.03154958602804,0.0,7.27146302790438,6.88472001256047,7.24555270625568,7.31913016187192,7.86980973013979,7.1438423541966,7.08225550938395,7.69034724996876,7.73423541717007,7.63778411029132,7.23074100262691,6.45450493755737,7.49601487343776,6.58631439372112,7.31605520889049,6.97464402604025,7.1374010559747,7.52293456094346,7.22371214112541,7.55956828992275,6.9036408744577,6.86542397831313,7.22631584933549,6.55136220398739,6.83491342970104,6.98344969074012,7.10747864662662,6.69306872440729,0.0,7.63865311646611,6.93557761023262,7.05484847699562,7.4074377330292,7.3720814835345,6.83932978216199,6.99887245399428,0.0,7.47013009399538,6.66020987335256,7.83282673667878,7.49032944727463,7.12142990894896,6.73348992588162,6.92362461136832,7.01390884549064,6.77082904603249,7.29222959190495,6.82845387393049,7.16380060395775,6.68846014042449,6.96797551620983,7.6560672737256,7.4086269541618,6.89141918684608,7.17112674665207,7.73579292798531,6.48784003382305,0.0,0.0,6.53044535469291,7.32111635060237,6.76500424625004,6.73403213956493,7.18130136492636,7.70929063572336,7.37086174008529,6.42660022616993,7.14271975339368,6.87307493222397,0.0,6.85187394467062,0.0,6.52073652693764
circ_chr10_101672915_101676436_FBXW4,0.0,0.0,5.90376136512808,0.0,0.0,0.0,0.0,0.0,5.5216789516032,0.0,5.95745033634712,5.49729300866279,0.0,0.0,5.71561885907482,5.47281266619239,0.0,0.0,5.85822971421118,0.0,0.0,0.0,6.37816477987163,0.0,6.32409051603798,0.0,6.35085080548338,5.80580834870147,5.79571500650173,0.0,0.0,5.70514852825302,0.0,0.0,7.01502470527315,0.0,0.0,0.0,0.0,6.0241423458978,0.0,7.06651978142975,6.84297883178833,0.0,0.0,0.0,5.08108392868764,0.0,0.0,0.0,0.0,6.20633064787105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44145028021684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8522485895654,0.0,0.0,0.0,0.0,4.17791779219584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81570350334807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27537959625362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_101792839_101810314_OGA,0.0,9.72678013883975,10.3892011014162,0.0,0.0,9.7006477841522,9.60975126916149,0.0,10.1338742939213,0.0,0.0,0.0,9.72623519223095,9.81147103052984,10.2927817492278,9.88461318300143,0.0,9.61728378777904,0.0,0.0,0.0,9.42519491849163,0.0,0.0,9.67588648378205,0.0,10.4915124197802,0.0,9.73455721481264,0.0,9.60325542454685,9.29590665529703,0.0,10.054143015902,10.4190858714554,0.0,0.0,0.0,0.0,0.0,0.0,9.91925068597765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09845324630927,0.0,0.0,9.53441961637302,0.0,0.0,9.47386806904363,9.57731552292888,10.1471540353307,9.95336710421782,0.0,0.0,0.0,0.0,0.0,9.85118684291279,0.0,0.0,9.37414833547309,0.0,10.4440934623349,9.93807991317648,0.0,0.0,10.6673954393635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1790506798778,9.66980631338319,0.0,9.74365633317414,0.0,0.0,9.60308847923139,0.0,0.0,0.0,9.53005513126111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0530977568113,9.50301076271693,10.1572332333748,0.0,0.0,0.0,10.1312653600774,0.0,10.5857606462968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67008968093448,0.0,10.1161879857748,10.2876892962441,10.0979267729097,0.0,0.0,0.0,9.5129576900551,0.0,0.0,0.0,9.72190236162318,0.0,0.0,8.60396009186447,0.0,0.0,9.83997532910059,0.0,0.0
circ_chr10_101797980_101810314_OGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5020461118139,0.0,0.0,0.0,0.0,0.0
circ_chr10_101939863_101957732_ARMH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circ_chr10_102023477_102025248_ARMH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42660022616993,0.0,0.0,0.0,0.0,0.0
circ_chr10_102023477_102029745_ARMH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45746296464855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
